,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,365,5404,1972460,495,3768,1865160,57,2744,156408,1389,2376,3300264,70,2376,166320,295,3808,1123360,492,4236,2084112,546,2500,1365000,1218,1228,1495704,232,2708,628256,1,2048,2048,14159092
40,2015-02,368,5404,1988672,428,3768,1612704,58,2744,159152,1437,2376,3414312,72,2376,171072,295,3808,1123360,493,4236,2088348,532,2500,1330000,1265,1228,1553420,234,2708,633672,2,2048,4096,14078808
39,2015-03,363,5404,1961652,434,3768,1635312,59,2744,161896,1458,2376,3464208,72,2376,171072,303,3808,1153824,525,4236,2223900,539,2500,1347500,1343,1228,1649204,230,2708,622840,1,2048,2048,14393456
38,2015-04,319,4656,1485264,433,4052,1754516,62,2668,165416,1410,2364,3333240,70,2444,171080,284,3164,898576,512,3904,1998848,534,2428,1296552,1375,1332,1831500,233,2556,595548,1,1292,1292,13531832
37,2015-05,331,4656,1541136,445,4052,1803140,63,2668,168084,1410,2364,3333240,66,2444,161304,283,3164,895412,499,3904,1948096,517,2428,1255276,1402,1332,1867464,237,2556,605772,1,1292,1292,13580216
36,2015-06,334,4656,1555104,453,4052,1835556,64,2668,170752,1432,2364,3385248,71,2444,173524,293,3164,927052,502,3904,1959808,515,2428,1250420,1454,1332,1936728,249,2556,636444,1,1292,1292,13831928
35,2015-07,320,4772,1527040,429,4316,1851564,56,2864,160384,1436,2748,3946128,69,2268,156492,283,3720,1052760,514,4620,2374680,501,2552,1278552,1519,1324,2011156,241,2724,656484,1,1292,1292,15016532
34,2015-08,364,4772,1737008,435,4316,1877460,65,2864,186160,1415,2748,3888420,70,2268,158760,285,3720,1060200,519,4620,2397780,509,2552,1298968,1521,1324,2013804,220,2724,599280,1,1292,1292,15219132
33,2015-09,351,4772,1674972,422,4316,1821352,62,2864,177568,1431,2748,3932388,68,2268,154224,281,3720,1045320,520,4620,2402400,515,2552,1314280,1436,1324,1901264,226,2724,615624,1,1292,1292,15040684
32,2015-10,369,4420,1630980,393,5220,2051460,71,2940,208740,1408,2876,4049408,68,2764,187952,290,4356,1263240,523,3996,2089908,533,2632,1402856,1390,1272,1768080,214,2652,567528,1,1292,1292,15221444
31,2015-11,366,4420,1617720,385,5220,2009700,66,2940,194040,1414,2876,4066664,74,2764,204536,284,4356,1237104,541,3996,2161836,518,2632,1363376,1363,1272,1733736,224,2652,594048,1,1292,1292,15184052
30,2015-12,370,4420,1635400,381,5220,1988820,67,2940,196980,1438,2876,4135688,78,2764,215592,287,4356,1250172,561,3996,2241756,517,2632,1360744,1344,1272,1709568,219,2652,580788,1,1292,1292,15316800
29,2016-01,301,4220,1270220,333,3428,1141524,53,2660,140980,1230,2504,3079920,55,2564,141020,269,3968,1067392,511,3804,1943844,531,2540,1348740,1313,1248,1638624,211,2568,541848,5,1840,9200,12323312
28,2016-02,308,4220,1299760,322,3428,1103816,53,2660,140980,1268,2504,3175072,56,2564,143584,283,3968,1122944,535,3804,2035140,563,2540,1430020,1373,1248,1713504,204,2568,523872,5,1840,9200,12697892
27,2016-03,309,4220,1303980,352,3428,1206656,55,2660,146300,1272,2504,3185088,52,2564,133328,282,3968,1118976,586,3804,2229144,569,2540,1445260,1443,1248,1800864,206,2568,529008,5,1840,9200,13107804
26,2016-04,271,3396,920316,355,3688,1309240,58,2580,149640,1267,2612,3309404,58,2876,166808,289,3284,949076,654,3536,2312544,619,2540,1572260,1455,1352,1967160,244,2884,703696,5,1296,6480,13366624
25,2016-05,267,3396,906732,343,3688,1264984,57,2580,147060,1271,2612,3319852,56,2876,161056,296,3284,972064,636,3536,2248896,615,2540,1562100,1497,1352,2023944,238,2884,686392,3,1296,3888,13296968
24,2016-06,282,3396,957672,340,3688,1253920,50,2580,129000,1265,2612,3304180,55,2876,158180,288,3284,945792,616,3536,2178176,579,2540,1470660,1554,1352,2101008,237,2884,683508,2,1296,2592,13184688
23,2016-07,269,3608,970552,349,3972,1386228,55,2716,149380,1279,3116,3985364,55,2696,148280,282,3788,1068216,688,4584,3153792,612,2804,1716048,1566,1376,2154816,223,3140,700220,2,1520,3040,15435936
22,2016-08,273,3608,984984,367,3972,1457724,52,2716,141232,1260,3116,3926160,54,2696,145584,279,3788,1056852,663,4584,3039192,633,2804,1774932,1547,1376,2128672,227,3140,712780,3,1520,4560,15372672
21,2016-09,274,3608,988592,364,3972,1445808,46,2716,124936,1239,3116,3860724,55,2696,148280,271,3788,1026548,631,4584,2892504,649,2804,1819796,1443,1376,1985568,207,3140,649980,3,1520,4560,14947296
20,2016-10,258,3592,926736,363,4160,1510080,53,2628,139284,1214,3176,3855664,55,2972,163460,277,3956,1095812,653,4232,2763496,637,2792,1778504,1397,1316,1838452,188,2772,521136,3,2044,6132,14598756
19,2016-11,262,3592,941104,392,4160,1630720,52,2628,136656,1232,3176,3912832,57,2972,169404,276,3956,1091856,634,4232,2683088,639,2792,1784088,1395,1316,1835820,192,2772,532224,6,2044,12264,14730056
18,2016-12,269,3592,966248,381,4160,1584960,52,2628,136656,1254,3176,3982704,53,2972,157516,278,3956,1099768,620,4232,2623840,647,2792,1806424,1367,1316,1798972,188,2772,521136,6,2044,12264,14690488
17,2017-01,266,3404,905464,353,3572,1260916,52,2348,122096,1207,2728,3292696,51,2952,150552,260,4836,1257360,532,4432,2357824,650,2552,1658800,1415,1292,1828180,191,2920,557720,8,1652,13216,13404824
16,2017-02,262,3404,891848,365,3572,1303780,54,2348,126792,1224,2728,3339072,51,2952,150552,261,4836,1262196,589,4432,2610448,643,2552,1640936,1473,1292,1903116,193,2920,563560,7,1652,11564,13803864
15,2017-03,261,3404,888444,380,3572,1357360,56,2348,131488,1215,2728,3314520,53,2952,156456,263,4836,1271868,575,4432,2548400,632,2552,1612864,1587,1292,2050404,193,2920,563560,7,1652,11564,13906928
