,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,200,4656,931200,2976,4800,14284800,3446,7192,24783632,1159,2972,3444548,38,5936,225568,557,4128,2299296,827,4192,3466784,528,3012,1590336,684,1184,809856,134,1956,262104,1,8604,8604,52106728
40,2015-02,203,4656,945168,3119,4800,14971200,3465,7192,24920280,1169,2972,3474268,35,5936,207760,559,4128,2307552,824,4192,3454208,530,3012,1596360,712,1184,843008,133,1956,260148,1,8604,8604,52988556
39,2015-03,196,4656,912576,3149,4800,15115200,3435,7192,24704520,1205,2972,3581260,35,5936,207760,636,4128,2625408,830,4192,3479360,529,3012,1593348,727,1184,860768,134,1956,262104,1,8604,8604,53350908
38,2015-04,190,4500,855000,3120,4940,15412800,3453,6704,23148912,1226,3044,3731944,32,3388,108416,727,3864,2809128,835,4052,3383420,534,3080,1644720,745,1212,902940,136,1892,257312,1,3076,3076,52257668
37,2015-05,179,4500,805500,3241,4940,16010540,3424,6704,22954496,1241,3044,3777604,34,3388,115192,791,3864,3056424,866,4052,3509032,536,3080,1650880,766,1212,928392,130,1892,245960,1,3076,3076,53057096
36,2015-06,176,4500,792000,3225,4940,15931500,3438,6704,23048352,1274,3044,3878056,37,3388,125356,879,3864,3396456,921,4052,3731892,534,3080,1644720,772,1212,935664,131,1892,247852,1,3076,3076,53734924
35,2015-07,181,4384,793504,3224,4868,15694432,3397,6880,23371360,1248,3152,3933696,40,3280,131200,889,4172,3708908,930,4456,4144080,528,3264,1723392,754,1304,983216,125,1964,245500,0,0,0,54729288
34,2015-08,179,4384,784736,3190,4868,15528920,3428,6880,23584640,1272,3152,4009344,37,3280,121360,911,4172,3800692,931,4456,4148536,537,3264,1752768,783,1304,1021032,138,1964,271032,0,0,0,55023060
33,2015-09,175,4384,767200,3096,4868,15071328,3410,6880,23460800,1249,3152,3936848,36,3280,118080,951,4172,3967572,949,4456,4228744,550,3264,1795200,774,1304,1009296,135,1964,265140,0,0,0,54620208
32,2015-10,169,5120,865280,3052,5424,16554048,3446,7152,24645792,1246,3288,4096848,33,4212,138996,962,4284,4121208,938,5360,5027680,571,3296,1882016,734,1152,845568,154,2200,338800,0,0,0,58516236
31,2015-11,170,5120,870400,2964,5424,16076736,3450,7152,24674400,1259,3288,4139592,34,4212,143208,960,4284,4112640,876,5360,4695360,582,3296,1918272,735,1152,846720,140,2200,308000,0,0,0,57785328
30,2015-12,168,5120,860160,2935,5424,15919440,3437,7152,24581424,1213,3288,3988344,37,4212,155844,1000,4284,4284000,856,5360,4588160,580,3296,1911680,745,1152,858240,140,2200,308000,0,0,0,57455292
29,2016-01,162,4764,771768,2415,4560,11012400,3408,7212,24578496,1194,3116,3720504,58,4396,254968,280,3708,1038240,805,4224,3400320,584,3064,1789376,819,1160,950040,127,1952,247904,11,440,4840,47768856
