,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,978,8860,8665080,5967,4492,26803764,6198,8560,53054880,18494,2772,51265368,563,4836,2722668,5622,4728,26580816,7708,3600,27748800,10047,2548,25599756,15806,1356,21432936,2719,2260,6144940,27,1808,48816,250067824
40,2015-02,948,8860,8399280,5939,4492,26677988,6133,8560,52498480,18402,2772,51010344,566,4836,2737176,5624,4728,26590272,7711,3600,27759600,10088,2548,25704224,16222,1356,21997032,2772,2260,6264720,32,1808,57856,249696972
39,2015-03,959,8860,8496740,5924,4492,26610608,6116,8560,52352960,18538,2772,51387336,571,4836,2761356,5676,4728,26836128,7725,3600,27810000,10112,2548,25765376,16887,1356,22898772,2842,2260,6422920,30,1808,54240,251396436
38,2015-04,960,6956,6677760,6146,4764,29279544,6134,8136,49906224,18517,2744,50810648,554,4356,2413224,5662,4068,23033016,7937,3368,26731816,10264,2584,26522176,17269,1360,23485840,2924,2384,6970816,44,1840,80960,245912024
37,2015-05,943,6956,6559508,6141,4764,29255724,6202,8136,50459472,18484,2744,50720096,551,4356,2400156,5738,4068,23342184,8060,3368,27146080,10269,2584,26535096,17864,1360,24295040,2895,2384,6901680,47,1840,86480,247701516
36,2015-06,891,6956,6197796,6064,4764,28888896,6215,8136,50565240,18460,2744,50654240,568,4356,2474208,5837,4068,23744916,8356,3368,28143008,10361,2584,26772824,18874,1360,25668640,2963,2384,7063792,46,1840,84640,250258200
35,2015-07,902,6916,6238232,5821,4800,27940800,6129,7168,43932672,18591,2784,51757344,588,4268,2509584,5942,3872,23007424,8755,3512,30747560,10365,2628,27239220,18632,1440,26830080,2956,2260,6680560,52,1840,95680,246979156
34,2015-08,875,6916,6051500,5718,4800,27446400,6170,7168,44226560,18682,2784,52010688,582,4268,2483976,6069,3872,23499168,8641,3512,30347192,10403,2628,27339084,18366,1440,26447040,2938,2260,6639880,50,1840,92000,246583488
33,2015-09,858,6916,5933928,5616,4800,26956800,6115,7168,43832320,18549,2784,51640416,559,4268,2385812,6083,3872,23553376,8520,3512,29922240,10364,2628,27236592,17665,1440,25437600,2904,2260,6563040,50,1840,92000,243554124
32,2015-10,917,7280,6675760,5738,5544,31811472,6061,8056,48827416,18674,3172,59233928,565,4628,2614820,6217,4200,26111400,8392,3956,33198752,10534,2868,30211512,16925,1460,24710500,2854,2440,6963760,53,2188,115964,270475284
