,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,94462,17972,1697671064,158977,5312,844485824,201704,7328,1478086912,471948,5456,2574948288,27358,6104,166993232,119137,8944,1065561328,392580,6936,2722934880,272969,3864,1054752216,208054,1712,356188448,63473,3180,201844140,721,2496,1799616,12165265948
40,2015-02,91617,17972,1646540724,161927,5312,860156224,199652,7328,1463049856,470968,5456,2569601408,27387,6104,167170248,119666,8944,1070292704,393865,6936,2731847640,275480,3864,1064454720,212644,1712,364046528,64015,3180,203567700,745,2496,1859520,12142587272
39,2015-03,89852,17972,1614820144,162000,5312,860544000,197891,7328,1450145248,471094,5456,2570288864,27340,6104,166883360,119749,8944,1071035056,393638,6936,2730273168,276346,3864,1067800944,217388,1712,372168256,64353,3180,204642540,741,2496,1849536,12110451116
38,2015-04,88502,12744,1127869488,160250,5076,813429000,194060,6052,1174451120,472729,4484,2119716836,27739,5812,161219068,120124,6148,738522352,394587,6060,2391197220,277572,3836,1064766192,219730,1716,377056680,64672,3008,194533376,796,2612,2079152,10164840484
37,2015-05,87246,12744,1111863024,162369,5076,824185044,192147,6052,1162873644,474422,4484,2127308248,27684,5812,160899408,120244,6148,739260112,393897,6060,2387015820,278268,3836,1067436048,222600,1716,381981600,64797,3008,194909376,808,2612,2110496,10159842820
36,2015-06,86933,12744,1107874152,163391,5076,829372716,191006,6052,1155968312,475235,4484,2130953740,27813,5812,161649156,120476,6148,740686448,396305,6060,2401608300,277425,3836,1064202300,224984,1716,386072544,65700,3008,197625600,860,2612,2246320,10178259588
35,2015-07,86098,11876,1022499848,163487,5208,851440296,188315,5884,1108045460,475337,4436,2108594932,27900,5584,155793600,121004,6252,756517008,397298,6116,2429874568,279828,4068,1138340304,223546,1760,393440960,66290,3200,212128000,822,2692,2212824,10178887800
34,2015-08,85248,11876,1012405248,164794,5208,858247152,186366,5884,1096577544,477153,4436,2116650708,27794,5584,155201696,121058,6252,756854616,397806,6116,2432981496,282027,4068,1147285836,224063,1760,394350880,65806,3200,210579200,836,2692,2250512,10183384888
33,2015-09,83861,11876,995933236,165080,5208,859736640,184349,5884,1084709516,474622,4436,2105423192,27439,5584,153219376,120698,6252,754603896,395098,6116,2416419368,282953,4068,1151052804,222543,1760,391675680,65399,3200,209276800,827,2692,2226284,10124276792
32,2015-10,83281,13528,1126625368,167967,6116,1027286172,182616,6728,1228640448,476408,4940,2353455520,27106,5988,162310728,121887,7296,889287552,397418,7072,2810540096,284633,4408,1254662264,222125,1896,421149000,65857,3372,222069804,826,3132,2587032,11498613984
31,2015-11,81825,13528,1106928600,165132,6116,1009947312,181103,6728,1218460984,482162,4940,2381880280,27306,5988,163508328,121821,7296,888806016,395166,7072,2794613952,285806,4408,1259832848,221085,1896,419177160,64813,3372,218549436,820,3132,2568240,11464273156
30,2015-12,81047,13528,1096403816,163615,6116,1000669340,180139,6728,1211975192,485980,4940,2400741200,27579,5988,165143052,122297,7296,892278912,395816,7072,2799210752,286637,4408,1263495896,222769,1896,422370024,64981,3372,219115932,810,3132,2536920,11473941036
29,2016-01,81636,18116,1478917776,162132,5364,869676048,178244,6816,1214911104,467852,5048,2361716896,27128,6004,162876512,121866,8584,1046097744,386459,6776,2618646184,281887,3848,1084701176,220782,1724,380628168,64911,3072,199406592,969,2612,2531028,11420109228
28,2016-02,80597,18116,1460095252,163752,5364,878365728,177262,6816,1208217792,466148,5048,2353115104,27092,6004,162660368,122291,8584,1049745944,386288,6776,2617487488,284152,3848,1093416896,224108,1724,386362192,65584,3072,201474048,1045,2612,2729540,11413670352
27,2016-03,79265,18116,1435964740,163282,5364,875844648,175248,6816,1194490368,465116,5048,2347905568,26945,6004,161777780,122066,8584,1047814544,385231,6776,2610325256,284234,3848,1093732432,227908,1724,392913392,65045,3072,199818240,1100,2612,2873200,11363460168
26,2016-04,77511,13116,1016634276,164269,5208,855512952,173091,6152,1064855832,464714,4400,2044741600,27370,5760,157651200,122553,6360,779437080,387826,6108,2368841208,284453,4036,1148052308,229362,1724,395420088,65410,3096,202509360,1065,2496,2658240,10036314144
25,2016-05,76145,13116,998717820,162981,5208,848805048,171910,6152,1057590320,463975,4400,2041490000,27513,5760,158474880,122654,6360,780079440,385840,6108,2356710720,285149,4036,1150861364,232801,1724,401348924,65035,3096,201348360,1122,2496,2800512,9998227388
24,2016-06,76177,13116,999137532,161045,5208,838722360,171192,6152,1053173184,465287,4400,2047262800,27764,5760,159920640,122881,6360,781523160,386032,6108,2357883456,284643,4036,1148819148,234003,1724,403421172,65274,3096,202088304,1079,2496,2693184,9994644940
23,2016-07,74674,12796,955528504,160978,5424,873144672,170059,6312,1073412408,466203,4540,2116561620,27671,5760,159384960,124219,6372,791523468,388624,6304,2449885696,286440,4188,1199610720,231308,1856,429307648,65325,3188,208256100,1258,2460,3094680,10259710476
22,2016-08,74105,12796,948247580,159744,5424,866451456,168807,6312,1065509784,466418,4540,2117537720,27419,5760,157933440,124220,6372,791529840,387578,6304,2443291712,289270,4188,1211462760,231976,1856,430547456,65239,3188,207981932,1313,2460,3229980,10243723660
21,2016-09,73055,12796,934811780,160864,5424,872526336,167747,6312,1058819064,462946,4540,2101774840,27037,5760,155733120,123982,6372,790013304,386546,6304,2436785984,290128,4188,1215056064,229722,1856,426364032,65748,3188,209604624,1322,2460,3252120,10204741268
