,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,828,3300,2732400,428,5556,2377968,502,4848,2433696,3069,7536,23127984,56,2480,138880,335,4248,1423080,582,4064,2365248,1002,2552,2557104,1059,1144,1211496,405,3048,1234440,,,,
40,2015-02,844,3300,2785200,445,5556,2472420,482,4848,2336736,3125,7536,23550000,59,2480,146320,331,4248,1406088,705,4064,2865120,1007,2552,2569864,1070,1144,1224080,397,3048,1210056,,,,
39,2015-03,838,3300,2765400,456,5556,2533536,478,4848,2317344,3143,7536,23685648,59,2480,146320,329,4248,1397592,960,4064,3901440,1036,2552,2643872,1125,1144,1287000,387,3048,1179576,,,,
38,2015-04,849,3096,2628504,531,5224,2773944,481,6820,3280420,3146,4944,15553824,58,2844,164952,328,3740,1226720,1117,6528,7291776,1069,2612,2792228,1171,1176,1377096,407,3024,1230768,0.0,0.0,0.0,38320232.0
37,2015-05,857,3096,2653272,561,5224,2930664,448,6820,3055360,3051,4944,15084144,56,2844,159264,335,3740,1252900,645,6528,4210560,1065,2612,2781780,1209,1176,1421784,425,3024,1285200,0.0,0.0,0.0,34834928.0
36,2015-06,857,3096,2653272,633,5224,3306792,449,6820,3062180,3098,4944,15316512,55,2844,156420,329,3740,1230460,622,6528,4060416,1058,2612,2763496,1212,1176,1425312,438,3024,1324512,0.0,0.0,0.0,35299372.0
35,2015-07,819,3232,2647008,633,5144,3256152,460,5280,2428800,3149,4836,15228564,53,2768,146704,333,3456,1150848,658,4452,2929416,984,2672,2629248,1232,1220,1503040,424,2984,1265216,2.0,3180.0,6360.0,33191356.0
34,2015-08,826,3232,2669632,636,5144,3271584,475,5280,2508000,3163,4836,15296268,54,2768,149472,333,3456,1150848,708,4452,3152016,982,2672,2623904,1214,1220,1481080,414,2984,1235376,2.0,3180.0,6360.0,33544540.0
33,2015-09,818,3232,2643776,600,5144,3086400,500,5280,2640000,3123,4836,15102828,61,2768,168848,328,3456,1133568,749,4452,3334548,1007,2672,2690704,1133,1220,1382260,428,2984,1277152,2.0,3180.0,6360.0,33466444.0
32,2015-10,768,3456,2654208,582,5420,3154440,479,6024,2885496,3193,5772,18429996,64,2628,168192,340,3820,1298800,1110,6668,7401480,1015,2724,2764860,1127,1236,1392972,434,3136,1361024,2.0,3288.0,6576.0,41518044.0
