,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,97,6320,613040,2593,4104,10641672,4869,7292,35504748,4340,2736,11874240,103,2384,245552,789,3380,2666820,1280,3304,4229120,1630,2188,3566440,2338,1092,2553096,503,2280,1146840,8,1524,12192,73053760
40,2015-02,96,6320,606720,2626,4104,10777104,4990,7292,36387080,4350,2736,11901600,101,2384,240784,800,3380,2704000,1509,3304,4985736,1660,2188,3632080,2425,1092,2648100,533,2280,1215240,8,1524,12192,75110636
39,2015-03,94,6320,594080,2777,4104,11396808,4960,7292,36168320,4374,2736,11967264,107,2384,255088,815,3380,2754700,1323,3304,4371192,1637,2188,3581756,2434,1092,2657928,546,2280,1244880,8,1524,12192,75004208
38,2015-04,102,5012,511224,2605,4608,12003840,4967,6660,33080220,4394,2628,11547432,111,2344,260184,787,3272,2575064,1363,3188,4345244,1642,2060,3382520,2492,1136,2830912,543,2280,1238040,5,780,3900,71778580
37,2015-05,104,5012,521248,2577,4608,11874816,4989,6660,33226740,4392,2628,11542176,103,2344,241432,795,3272,2601240,1362,3188,4342056,1633,2060,3363980,2548,1136,2894528,523,2280,1192440,5,780,3900,71804556
36,2015-06,101,5012,506212,2463,4608,11349504,5026,6660,33473160,4418,2628,11610504,132,2344,309408,800,3272,2617600,1378,3188,4393064,1526,2060,3143560,2554,1136,2901344,529,2280,1206120,7,780,5460,71515936
35,2015-07,103,4408,454024,2381,4776,11371656,4965,6472,32133480,4394,2628,11547432,152,1788,271776,783,3288,2574504,1343,3332,4474876,1466,2156,3160696,2508,1136,2849088,534,2332,1245288,5,708,3540,70086360
34,2015-08,102,4408,449616,2485,4776,11868360,4984,6472,32256448,4335,2628,11392380,188,1788,336144,789,3288,2594232,1355,3332,4514860,1490,2156,3212440,2501,1136,2841136,538,2332,1254616,8,708,5664,70725896
33,2015-09,99,4408,436392,2688,4776,12837888,4987,6472,32275864,4365,2628,11471220,233,1788,416604,789,3288,2594232,1379,3332,4594828,1515,2156,3266340,2451,1136,2784336,526,2332,1226632,7,708,4956,71909292
32,2015-10,93,5908,549444,2644,5668,14986192,4962,7044,34952328,4377,2920,12780840,221,2064,456144,796,3596,2862416,1358,3748,5089784,1552,2456,3811712,2473,1164,2878572,491,2664,1308024,4,596,2384,79677840
31,2015-11,91,5908,537628,2461,5668,13948948,4917,7044,34635348,4372,2920,12766240,213,2064,439632,796,3596,2862416,1377,3748,5160996,1535,2456,3769960,2412,1164,2807568,494,2664,1316016,4,596,2384,78247136
30,2015-12,92,5908,543536,2238,5668,12684984,4930,7044,34726920,4365,2920,12745800,217,2064,447888,797,3596,2866012,1396,3748,5232208,1539,2456,3779784,2451,1164,2852964,503,2664,1339992,0,596,0,77220088
29,2016-01,91,4568,415688,2423,4336,10506128,4580,6828,31272240,4406,2788,12283928,78,2884,224952,777,3352,2604504,1334,3568,4759712,1561,2108,3290588,2446,1080,2641680,502,2292,1150584,0,328,0,69150004
28,2016-02,95,4568,433960,2366,4336,10258976,4575,6828,31238100,4409,2788,12292292,76,2884,219184,775,3352,2597800,1232,3568,4395776,1568,2108,3305344,2424,1080,2617920,511,2292,1171212,0,328,0,68530564
27,2016-03,100,4568,456800,2324,4336,10076864,4621,6828,31552188,4424,2788,12334112,73,2884,210532,785,3352,2631320,1157,3568,4128176,1574,2108,3317992,2480,1080,2678400,518,2292,1187256,9,328,2952,68576592
26,2016-04,91,5152,468832,2279,4880,11121520,4554,6660,30329640,4449,2732,12154668,73,3220,235060,792,3180,2518560,1141,3608,4116728,1589,2200,3495800,2521,1180,2974780,547,2404,1314988,10,980,9800,68740376
25,2016-05,90,5152,463680,2331,4880,11375280,4506,6660,30009960,4449,2732,12154668,75,3220,241500,804,3180,2556720,1112,3608,4012096,1586,2200,3489200,2553,1180,3012540,537,2404,1290948,7,980,6860,68613452
24,2016-06,90,5152,463680,2394,4880,11682720,4476,6660,29810160,4418,2732,12069976,78,3220,251160,805,3180,2559900,1125,3608,4059000,1543,2200,3394600,2510,1180,2961800,528,2404,1269312,10,980,9800,68532108
23,2016-07,84,4588,385392,2395,5460,13076700,4432,6752,29924864,4405,2752,12122560,80,3172,253760,795,3312,2633040,1178,4144,4881632,1544,2236,3452384,2520,1160,2923200,523,2652,1386996,25,1648,41200,71081728
22,2016-08,87,4588,399156,2565,5460,14004900,4431,6752,29918112,4430,2752,12191360,79,3172,250588,803,3312,2659536,1237,4144,5126128,1563,2236,3494868,2522,1160,2925520,497,2652,1318044,28,1648,46144,72334356
21,2016-09,93,4588,426684,2549,5460,13917540,4416,6752,29816832,4384,2752,12064768,81,3172,256932,787,3312,2606544,1233,4144,5109552,1595,2236,3566420,2471,1160,2866360,567,2652,1503684,21,1648,34608,72169924
20,2016-10,93,4832,449376,2614,5296,13843744,4331,6552,28376712,4383,2932,12850956,85,2960,251600,774,3564,2758536,1208,4172,5039776,1589,2536,4029704,2464,1188,2927232,646,3484,2250664,18,1920,34560,72812860
19,2016-11,107,4832,517024,2559,5296,13552464,4344,6552,28461888,4443,2932,13026876,83,2960,245680,757,3564,2697948,1188,4172,4956336,1584,2536,4017024,2422,1188,2877336,550,3484,1916200,19,1920,36480,72305256
18,2016-12,107,4832,517024,2534,5296,13420064,4404,6552,28855008,4411,2932,12933052,82,2960,242720,735,3564,2619540,1181,4172,4927132,1575,2536,3994200,2412,1188,2865456,548,3484,1909232,18,1920,34560,72317988
17,2017-01,106,5404,572824,2583,4620,11933460,4626,7976,36896976,4424,3060,13537440,74,3108,229992,748,3452,2582096,1184,3652,4323968,1472,2176,3203072,2317,1152,2669184,495,2364,1170180,29,2136,61944,77181136
16,2017-02,112,5404,605248,2510,4620,11596200,4648,7976,37072448,4435,3060,13571100,74,3108,229992,759,3452,2620068,1261,3652,4605172,1493,2176,3248768,2342,1152,2697984,502,2364,1186728,32,2136,68352,77502060
15,2017-03,114,5404,616056,2339,4620,10806180,4673,7976,37271848,4440,3060,13586400,72,3108,223776,759,3452,2620068,1229,3652,4488308,1477,2176,3213952,2435,1152,2805120,517,2364,1222188,36,2136,76896,76930792
14,2017-04,119,4028,479332,2320,6340,14708800,4745,7060,33499700,4436,2804,12438544,72,2916,209952,755,3428,2588140,1197,4024,4816728,1493,2384,3559312,2455,1192,2926360,494,2540,1254760,32,2092,66944,76548572
13,2017-05,118,4028,475304,2343,6340,14854620,4706,7060,33224360,4424,2804,12404896,70,2916,204120,753,3428,2581284,1173,4024,4720152,1471,2384,3506864,2482,1192,2958544,491,2540,1247140,29,2092,60668,76237952
12,2017-06,113,4028,455164,2277,6340,14436180,4747,7060,33513820,4440,2804,12449760,68,2916,198288,742,3428,2543576,1161,4024,4671864,1447,2384,3449648,2609,1192,3109928,507,2540,1287780,31,2092,64852,76180860
11,2017-07,113,4648,525224,2288,4968,11366784,4664,7092,33077088,4404,2928,12894912,67,3844,257548,763,3340,2548420,1180,4076,4809680,1437,2264,3253368,2616,1160,3034560,507,2292,1162044,34,2036,69224,72998852
10,2017-08,115,4648,534520,2119,4968,10527192,4549,7092,32261508,4374,2928,12807072,68,3844,261392,748,3340,2498320,1214,4076,4948264,1429,2264,3235256,2581,1160,2993960,504,2292,1155168,27,2036,54972,71277624
9,2017-09,115,4648,534520,2319,4968,11520792,4506,7092,31956552,4201,2928,12300528,59,3844,226796,730,3340,2438200,1131,4076,4609956,1314,2264,2974896,2218,1160,2572880,460,2292,1054320,23,2036,46828,70236268
8,2017-10,107,4680,500760,2328,4952,11528256,4529,7136,32318944,4427,3288,14555976,58,4628,268424,738,3680,2715840,1189,4596,5464644,1348,2436,3283728,2358,1296,3055968,456,2652,1209312,31,1820,56420,74958272
7,2017-11,110,4680,514800,2387,4952,11820424,4500,7136,32112000,4471,3288,14700648,58,4628,268424,729,3680,2682720,1209,4596,5556564,1367,2436,3330012,2354,1296,3050784,481,2652,1275612,38,1820,69160,75381148
6,2017-12,105,4680,491400,2294,4952,11359888,4554,7136,32497344,4489,3288,14759832,57,4628,263796,739,3680,2719520,1216,4596,5588736,1388,2436,3381168,2370,1296,3071520,459,2652,1217268,30,1820,54600,75405072
5,2018-01,102,6248,637296,2282,4232,9657424,4607,8356,38496092,4452,3244,14442288,44,3656,160864,737,3600,2653200,1252,3728,4667456,1334,2288,3052192,2385,1284,3062340,483,2608,1259664,27,2156,58212,78147028
4,2018-02,102,6248,637296,2427,4232,10271064,4672,8356,39039232,4514,3244,14643416,45,3656,164520,737,3600,2653200,1258,3728,4689824,1412,2288,3230656,2402,1284,3084168,491,2608,1280528,30,2156,64680,79758584
3,2018-03,109,6248,681032,2437,4232,10313384,4654,8356,38888824,4549,3244,14756956,46,3656,168176,739,3600,2660400,1263,3728,4708464,1377,2288,3150576,2477,1284,3180468,484,2608,1262272,35,2156,75460,79846012
2,2018-04,104,4328,450112,2290,4968,11376720,4838,6920,33478960,4611,2988,13777668,51,3580,182580,738,3552,2621376,1332,4040,5381280,1432,2344,3356608,2528,1296,3276288,490,2548,1248520,34,2012,68408,75218520
1,2018-05,97,4328,419816,2348,4968,11664864,4856,6920,33603520,4631,2988,13837428,47,3580,168260,744,3552,2642688,1331,4040,5377240,1412,2344,3309728,2517,1296,3262032,506,2548,1289288,31,2012,62372,75637236
0,2018-06,96,4328,415488,2379,4968,11818872,4936,6920,34157120,4593,2988,13723884,46,3580,164680,753,3552,2674656,1342,4040,5421680,1377,2344,3227688,2518,1296,3263328,499,2548,1271452,30,2012,60360,76199208
