,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,244,2224,542656,10213,2960,30230480,20096,6200,124595200,34489,2776,95741464,2282,4600,10497200,6671,4000,26684000,26764,3964,106092496,32679,3440,112415760,24256,1356,32891136,5789,2232,12921048,68,2308,156944,552768384
40,2015-02,245,2224,544880,10403,2960,30792880,20103,6200,124638600,34811,2776,96635336,2291,4600,10538600,6692,4000,26768000,27074,3964,107321336,32897,3440,113165680,24951,1356,33833556,5849,2232,13054968,69,2308,159252,557453088
39,2015-03,250,2224,556000,10513,2960,31118480,20140,6200,124868000,34696,2776,96316096,2282,4600,10497200,6802,4000,27208000,27047,3964,107214308,32972,3440,113423680,25455,1356,34516980,5911,2232,13193352,65,2308,150020,559062116
38,2015-04,264,2664,703296,10501,3108,32637108,20386,5504,112204544,34731,2876,99886356,2273,4552,10346696,6871,3660,25147860,26724,4136,110530464,32949,3548,116903052,25440,1388,35310720,5964,2188,13049232,55,2412,132660,556851988
37,2015-05,257,2664,684648,10723,3108,33327084,20572,5504,113228288,35013,2876,100697388,2129,4552,9691208,6913,3660,25301580,26641,4136,110187176,32841,3548,116519868,25485,1388,35373180,6006,2188,13141128,62,2412,149544,558301092
36,2015-06,260,2664,692640,10901,3108,33880308,20779,5504,114367616,34914,2876,100412664,1979,4552,9008408,6950,3660,25437000,26631,4136,110145816,32603,3548,115675444,25341,1388,35173308,5977,2188,13077676,42,2412,101304,557972184
35,2015-07,251,2392,600392,11169,3092,34534548,21005,6460,135692300,34963,2776,97057288,2017,4388,8850596,6807,3736,25430952,26524,4136,109703264,32661,3532,115358652,25266,1376,34766016,5951,2228,13258828,40,2448,97920,575350756
34,2015-08,247,2392,590824,11150,3092,34475800,20971,6460,135472660,34987,2776,97123912,2023,4388,8876924,6746,3736,25203056,26542,4136,109777712,32975,3532,116467700,25496,1376,35082496,6023,2228,13419244,47,2448,115056,576605384
33,2015-09,245,2392,586040,11116,3092,34370672,21085,6460,136209100,34770,2776,96521520,1912,4388,8389856,6764,3736,25270304,26521,4136,109690856,33151,3532,117089332,24846,1376,34188096,5979,2228,13321212,41,2448,100368,575737356
32,2015-10,257,2584,664088,11139,3580,39877620,20808,6532,135917856,35119,2952,103671288,1968,4836,9517248,6800,4008,27254400,27093,4644,125819892,33426,4004,133837704,25050,1456,36472800,6119,2416,14783504,57,2764,157548,627973948
31,2015-11,265,2584,684760,11035,3580,39505300,20841,6532,136133412,36296,2952,107145792,1983,4836,9589788,6787,4008,27202296,27392,4644,127208448,33447,4004,133921788,25128,1456,36586368,6146,2416,14848736,58,2764,160312,632987000
30,2015-12,264,2584,682176,11079,3580,39662820,21017,6532,137283044,36724,2952,108409248,2043,4836,9879948,6845,4008,27434760,27497,4644,127696068,33280,4004,133253120,25243,1456,36753808,6203,2416,14986448,54,2764,149256,636190696
29,2016-01,342,3020,1032840,11091,3068,34027188,21355,5904,126079920,34977,2624,91779648,2027,4392,8902584,6930,3972,27525960,26950,4040,108878000,33419,3312,110683728,25618,1392,35660256,6186,2236,13831896,19,1664,31616,558433636
28,2016-02,359,3020,1084180,11413,3068,35015084,21349,5904,126044496,35171,2624,92288704,2051,4392,9007992,6983,3972,27736476,26646,4040,107649840,33554,3312,111130848,25948,1392,36119616,6217,2236,13901212,18,1664,29952,560008400
27,2016-03,354,3020,1069080,11509,3068,35309612,21453,5904,126658512,35132,2624,92186368,2033,4392,8928936,7065,3972,28062180,26314,4040,106308560,33571,3312,111187152,26378,1392,36718176,6344,2236,14185184,20,1664,33280,560647040
26,2016-04,267,2476,661092,11761,3276,38529036,21640,5820,125944800,35259,2692,94917228,2073,4432,9187536,7173,3820,27400860,26725,4148,110855300,33992,3604,122507168,26671,1444,38512924,6357,2320,14748240,43,1792,77056,583341240
