,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,1020,2156,2199120,37493,3676,137824268,26919,3920,105522480,170380,3364,573158320,17684,6876,121595184,52838,5624,297160912,126355,4272,539788560,97454,3620,352783480,89509,1848,165412632,28580,2516,71907280,1464,2176,3185664,2370537900
40,2015-02,1043,2156,2248708,38043,3676,139846068,26992,3920,105808640,169875,3364,571459500,17740,6876,121980240,53069,5624,298460056,127340,4272,543996480,98138,3620,355259560,90353,1848,166972344,28984,2516,72923744,1570,2176,3416320,2382371660
39,2015-03,1071,2156,2309076,38557,3676,141735532,27080,3920,106153600,170352,3364,573064128,17721,6876,121849596,53108,5624,298679392,126813,4272,541745136,98392,3620,356179040,91478,1848,169051344,29090,2516,73190440,1676,2176,3646976,2387604260
38,2015-04,1093,2216,2422088,38981,3732,145477092,27111,4112,111480432,170267,3236,550984012,17507,6616,115826312,53178,4832,256956096,126767,4276,542055692,99035,3732,369598620,90508,1744,157845952,29289,2536,74276904,1518,2328,3533904,2330457104
37,2015-05,953,2216,2111848,39482,3732,147346824,27312,4112,112306944,171061,3236,553553396,17773,6616,117586168,53254,4832,257323328,126578,4276,541247528,99703,3732,372091596,90225,1744,157352400,29405,2536,74571080,1589,2328,3699192,2339190304
36,2015-06,714,2216,1582224,39969,3732,149164308,27404,4112,112685248,172016,3236,556643776,17892,6616,118373472,53355,4832,257811360,126342,4276,540238392,99210,3732,370251720,89603,1744,156267632,29464,2536,74720704,1665,2328,3876120,2341614956
35,2015-07,709,2416,1712944,40155,3824,153552720,27423,3896,106840008,171164,3196,547040144,18105,6328,114568440,53779,4844,260505476,127454,4108,523581032,98041,3736,366281176,88610,1696,150282560,29487,2548,75132876,707,2304,1628928,2301126304
34,2015-08,710,2416,1715360,40510,3824,154910240,27479,3896,107058184,171831,3196,549171876,18216,6328,115270848,53763,4844,260427972,128455,4108,527693140,98762,3736,368974832,89141,1696,151183136,29389,2548,74883172,747,2304,1721088,2313009848
33,2015-09,752,2416,1816832,40697,3824,155625328,27470,3896,107023120,171455,3196,547970180,18101,6328,114543128,53605,4844,259662620,128653,4108,528506524,99691,3736,372445576,89188,1696,151262848,29531,2548,75244988,735,2304,1693440,2315794584
32,2015-10,786,2540,1996440,41723,4364,182079172,27665,4512,124824480,173587,3588,622830156,18172,7740,140651280,54150,5452,295225800,132761,4884,648404724,100942,4088,412650896,89676,1884,168949584,29440,2736,80547840,640,4396,2813440,2680973812
