,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,6285,1960,12318600,12678,3216,40772448,3246,3564,11568744,26533,2824,74929192,1410,5432,7659120,7703,7088,54598864,13854,4016,55637664,19219,3744,71955936,27417,2284,62620428,6183,2508,15506964,61,2760,168360,407736320
40,2015-02,6243,1960,12236280,12766,3216,41055456,3254,3564,11597256,26595,2824,75104280,1423,5432,7729736,7725,7088,54754800,14001,4016,56228016,19482,3744,72940608,28104,2284,64189536,6259,2508,15697572,66,2760,182160,411715700
39,2015-03,6273,1960,12295080,12876,3216,41409216,3258,3564,11611512,26591,2824,75092984,1427,5432,7751464,7789,7088,55208432,14118,4016,56697888,19490,3744,72970560,28234,2284,64486456,6228,2508,15619824,58,2760,160080,413303496
38,2015-04,5417,2532,13715844,12767,3248,41467216,3265,3664,11962960,25464,2908,74049312,1409,4892,6892828,7744,6056,46897664,14511,3820,55432020,19439,3696,71846544,27598,2160,59611680,6172,2556,15775632,5,5384,26920,397678620
37,2015-05,4058,2532,10274856,13092,3248,42522816,3321,3664,12168144,25113,2908,73028604,1422,4892,6956424,7745,6056,46903720,14540,3820,55542800,19263,3696,71196048,26006,2160,56172960,6022,2556,15392232,2,5384,10768,390169372
36,2015-06,2749,2532,6960468,13324,3248,43276352,3365,3664,12329360,24715,2908,71871220,1425,4892,6971100,7730,6056,46812880,14354,3820,54832280,18852,3696,69676992,24505,2160,52930800,5825,2556,14888700,3,5384,16152,380566304
35,2015-07,1964,1948,3825872,13497,3316,44756052,3402,4080,13880160,24359,2900,70641100,1430,4624,6612320,7707,5980,46087860,14402,3884,55937368,18389,3708,68186412,23544,1996,46993824,5588,2504,13992352,12,1448,17376,370930696
34,2015-08,2398,1948,4671304,13415,3316,44484140,3421,4080,13957680,24480,2900,70992000,1432,4624,6621568,7732,5980,46237360,14383,3884,55863572,18768,3708,69591744,23569,1996,47043724,5563,2504,13929752,12,1448,17376,373410220
33,2015-09,2326,1948,4531048,13611,3316,45134076,3424,4080,13969920,24581,2900,71284900,1431,4624,6616944,7750,5980,46345000,14381,3884,55855804,18999,3708,70448292,23691,1996,47287236,5577,2504,13964808,11,1448,15928,375453956
32,2015-10,2998,2056,6163888,13961,3812,53219332,3411,8400,28652400,25437,3268,83128116,1452,5476,7951152,7928,7232,57335296,14843,5340,79261620,19723,4128,81416544,25347,2300,58298100,5820,2768,16109760,12,10640,127680,471663888
31,2015-11,4766,2056,9798896,13962,3812,53223144,3437,8400,28870800,26736,3268,87373248,1463,5476,8011388,7924,7232,57306368,15092,5340,80591280,20041,4128,82729248,27542,2300,63346600,6017,2768,16655056,9,10640,95760,488001788
30,2015-12,5729,2056,11778824,13906,3812,53009672,3457,8400,29038800,27406,3268,89562808,1453,5476,7956628,7998,7232,57841536,15085,5340,80553900,20171,4128,83265888,28315,2300,65124500,6167,2768,17070256,5,10640,53200,495256012
29,2016-01,4974,1896,9430704,13970,3216,44927520,3499,3812,13338188,26580,3108,82610640,1537,5348,8219876,7684,6960,53480640,14892,4088,60878496,20656,3576,73865856,28830,2264,65271120,6287,2580,16220460,1,1848,1848,428245348
28,2016-02,4927,1896,9341592,14151,3216,45509616,3502,3812,13349624,26608,3108,82697664,1531,5348,8187788,7702,6960,53605920,14992,4088,61287296,20605,3576,73683480,29411,2264,66586504,6453,2580,16648740,1,1848,1848,430900072
27,2016-03,4762,1896,9028752,14209,3216,45696144,3528,3812,13448736,26615,3108,82719420,1530,5348,8182440,7764,6960,54037440,15042,4088,61491696,20951,3576,74920776,29503,2264,66794792,6378,2580,16455240,1,1848,1848,432777284
26,2016-04,4994,2324,11606056,14378,3412,49057736,3610,4056,14642160,26454,2920,77245680,1502,4976,7473952,7788,5856,45606528,15435,4064,62727840,20780,3756,78049680,28686,2280,65404080,6396,2656,16987776,5,2524,12620,428814108
25,2016-05,4115,2324,9563260,14513,3412,49518356,3619,4056,14678664,26175,2920,76431000,1501,4976,7468976,7705,5856,45120480,15763,4064,64060832,20561,3756,77227116,27243,2280,62114040,6178,2656,16408768,5,2524,12620,422604112
24,2016-06,1856,2324,4313344,14721,3412,50228052,3711,4056,15051816,25778,2920,75271760,1480,4976,7364480,7674,5856,44938944,16422,4064,66739008,19939,3756,74890884,25715,2280,58630200,5910,2656,15696960,5,2524,12620,413138068
23,2016-07,1827,2352,4297104,14761,3588,52962468,3763,4372,16451836,25689,3088,79327632,1488,5072,7547136,7667,6020,46155340,15458,4244,65603752,19874,3852,76554648,24883,2100,52254300,5879,2600,15285400,39,2180,85020,416524636
22,2016-08,1930,2352,4539360,15015,3588,53873820,3766,4372,16464952,25678,3088,79293664,1486,5072,7536992,7600,6020,45752000,15512,4244,65832928,20053,3852,77244156,24597,2100,51653700,5800,2600,15080000,36,2180,78480,417350052
21,2016-09,2246,2352,5282592,15036,3588,53949168,3807,4372,16644204,25824,3088,79744512,1479,5072,7501488,7615,6020,45842300,16312,4244,69228128,20533,3852,79093116,24582,2100,51622200,5979,2600,15545400,24,2180,52320,424505428
20,2016-10,2893,2172,6283596,15195,3860,58652700,3762,4308,16206696,26569,3104,82470176,1465,5180,7588700,7675,7044,54062700,16165,4992,80695680,21117,3944,83285448,26176,2352,61565952,6125,2700,16537500,15,4204,63060,467412208
19,2016-11,4692,2172,10191024,15159,3860,58513740,3810,4308,16413480,27773,3104,86207392,1466,5180,7593880,7788,7044,54858672,16186,4992,80800512,21364,3944,84259616,28332,2352,66636864,6487,2700,17514900,10,4204,42040,483032120
18,2016-12,5500,2172,11946000,15106,3860,58309160,3812,4308,16422096,28379,3104,88088416,1437,5180,7443660,7865,7044,55401060,16822,4992,83975424,21665,3944,85446760,29116,2352,68480832,6556,2700,17701200,2,4204,8408,493223016
17,2017-01,5379,2176,11704704,14790,3556,52593240,3771,3848,14510808,27847,3000,83541000,1385,5732,7938820,7807,7580,59177060,14736,4064,59887104,21310,3760,80125600,29930,2408,72071440,6644,2704,17965376,30,3988,119640,459634792
16,2017-02,5491,2176,11948416,14871,3556,52881276,3821,3848,14703208,27774,3000,83322000,1388,5732,7956016,7929,7580,60101820,14873,4064,60443872,21604,3760,81231040,30334,2408,73044272,6666,2704,18024864,33,3988,131604,463788388
15,2017-03,5434,2176,11824384,14971,3556,53236876,3849,3848,14810952,27616,3000,82848000,1374,5732,7875768,7943,7580,60207940,14914,4064,60610496,21543,3760,81001680,30815,2408,74202520,6724,2704,18181696,38,3988,151544,464951856
14,2017-04,5168,2272,11741696,15075,3484,52521300,3855,3804,14664420,27586,2952,81433872,1371,4868,6674028,8042,6196,49828232,15359,3968,60944512,21480,3920,84201600,30027,2420,72665340,6586,2660,17518760,79,4076,322004,452515764
