,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,3684,1628,5997552,20416,3052,62309632,5243,3396,17805228,50489,2544,128444016,3025,4444,13443100,11485,4256,48880160,29730,3852,114519960,26471,3788,100272148,41054,1744,71598176,7790,2364,18415560,99,2152,213048,581898580
40,2015-02,3006,1628,4893768,20562,3052,62755224,5280,3396,17930880,50804,2544,129245376,3051,4444,13558644,11518,4256,49020608,30048,3852,115744896,26615,3788,100817620,42202,1744,73600288,7885,2364,18640140,97,2152,208744,586416188
39,2015-03,3140,1628,5111920,20699,3052,63173348,5302,3396,18005592,50568,2544,128644992,3045,4444,13531980,11626,4256,49480256,29795,3852,114770340,26768,3788,101397184,42660,1744,74399040,7947,2364,18786708,99,2152,213048,587514408
38,2015-04,4044,1764,7133616,21084,3132,66035088,5326,3336,17767536,50041,2532,126703812,3006,4944,14861664,11576,4088,47322688,29698,3716,110357768,26766,3836,102674376,42070,1716,72192120,7920,2416,19134720,25,2024,50600,584233988
37,2015-05,4183,1764,7378812,21267,3132,66608244,5358,3336,17874288,49718,2532,125885976,3030,4944,14980320,11538,4088,47167344,29603,3716,110004748,26822,3836,102889192,39836,1716,68358576,7853,2416,18972848,27,2024,54648,580174996
36,2015-06,3783,1764,6673212,21788,3132,68240016,5390,3336,17981040,49821,2532,126146772,3007,4944,14866608,11558,4088,47249104,29743,3716,110524988,26593,3836,102010748,38360,1716,65825760,7715,2416,18639440,20,2024,40480,578198168
35,2015-07,3099,1980,6136020,21934,3144,68960496,5424,3456,18745344,49670,2512,124771040,3126,4244,13266744,11619,4308,50054652,29761,3628,107972908,26439,3924,103746636,37443,1628,60957204,7533,2380,17928540,19,3032,57608,572597192
34,2015-08,1687,1980,3340260,22368,3144,70324992,5432,3456,18772992,50067,2512,125768304,3081,4244,13075764,11678,4308,50308824,30001,3628,108843628,26850,3924,105359400,37431,1628,60937668,7532,2380,17926160,25,3032,75800,574733792
33,2015-09,2010,1980,3979800,22622,3144,71123568,5409,3456,18693504,50128,2512,125921536,3051,4244,12948444,11687,4308,50347596,30324,3628,110015472,26970,3924,105830280,37470,1628,61001160,7584,2380,18049920,16,3032,48512,577959792
32,2015-10,3577,1808,6467216,23639,3580,84627620,5532,3824,21154368,51258,2808,143932464,3085,4916,15165860,11891,4516,53699756,31576,4316,136282016,27491,4248,116781768,38997,1720,67074840,7799,2648,20651752,23,6880,158240,665995900
