,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,509,2040,1038360,4712,2800,13193600,1608,3776,6071808,20058,2324,46614792,3338,3544,11829872,6218,4204,26140472,15682,3892,61034344,18968,3524,66843232,16477,1060,17465620,5376,3056,16429056,57,2448,139536,266800692
40,2015-02,441,2040,899640,4790,2800,13412000,1598,3776,6034048,19751,2324,45901324,3330,3544,11801520,6219,4204,26144676,15804,3892,61509168,19192,3524,67632608,16867,1060,17879020,5435,3056,16609360,56,2448,137088,267960452
39,2015-03,420,2040,856800,4808,2800,13462400,1593,3776,6015168,19468,2324,45243632,3327,3544,11790888,6215,4204,26127860,15782,3892,61423544,19202,3524,67667848,16835,1060,17845100,5445,3056,16639920,50,2448,122400,267195560
38,2015-04,177,2948,521796,4811,3016,14509976,1602,3972,6363144,19745,2344,46282280,3297,3756,12383532,6291,4052,25491132,16129,4012,64709548,19161,3424,65607264,17081,1128,19267368,5551,3148,17474548,5,2820,14100,272624688
37,2015-05,175,2948,515900,4915,3016,14823640,1617,3972,6422724,19614,2344,45975216,3191,3756,11985396,6315,4052,25588380,16332,4012,65523984,19226,3424,65829824,16127,1128,18191256,5558,3148,17496584,7,2820,19740,272372644
36,2015-06,169,2948,498212,5037,3016,15191592,1605,3972,6375060,19688,2344,46148672,3110,3756,11681160,6286,4052,25470872,16073,4012,64484876,19051,3424,65230624,16307,1128,18394296,5597,3148,17619356,1,2820,2820,271097540
35,2015-07,171,2884,493164,5006,3228,16159368,1608,3776,6071808,19722,2348,46307256,3113,3664,11406032,6324,3868,24461232,15877,4140,65730780,18966,3616,68581056,16149,1120,18086880,5475,3148,17235300,12,1856,22272,274555148
34,2015-08,170,2884,490280,5069,3228,16362732,1593,3776,6015168,19785,2348,46455180,3094,3664,11336416,6405,3868,24774540,15988,4140,66190320,19244,3616,69586304,16321,1120,18279520,5470,3148,17219560,12,1856,22272,276732292
33,2015-09,230,2884,663320,5171,3228,16691988,1605,3776,6060480,19973,2348,46896604,3065,3664,11230160,6318,3868,24438024,15875,4140,65722500,19232,3616,69542912,17716,1120,19841920,5478,3148,17244744,7,1856,12992,278345644
32,2015-10,370,2468,913160,5172,3456,17874432,1638,4124,6755112,20164,2564,51700496,3083,4164,12837612,6311,4372,27591692,16172,5376,86940672,19519,3948,77061012,17994,1176,21160944,5495,3420,18792900,9,3500,31500,321659532
31,2015-11,358,2468,883544,5130,3456,17729280,1654,4124,6821096,20615,2564,52856860,3172,4164,13208208,6356,4372,27788432,16342,5376,87854592,19646,3948,77562408,17991,1176,21157416,5512,3420,18851040,15,3500,52500,324765376
30,2015-12,476,2468,1174768,5232,3456,18081792,1668,4124,6878832,20808,2564,53351712,3195,4164,13303980,6325,4372,27652900,16413,5376,88236288,19746,3948,77957208,17334,1176,20384784,5475,3420,18724500,12,3500,42000,325788764
29,2016-01,538,2028,1091064,5358,2916,15623928,1644,3656,6010464,19756,2500,49390000,2924,3816,11157984,6689,4160,27826240,16230,4016,65179680,19550,3348,65453400,17314,1088,18837632,5462,3084,16844808,18,2200,39600,277454800
