,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,3119,2064,6437616,29938,3844,115081672,28045,5528,155032760,133483,3060,408457980,16628,5108,84935824,45893,6004,275541572,123974,4260,528129240,84924,4068,345470832,181672,2164,393138208,20885,2436,50875860,640,2048,1310720,2364412284
40,2015-02,3229,2064,6664656,30466,3844,117111304,28198,5528,155878544,133090,3060,407255400,16628,5108,84935824,46055,6004,276514220,125232,4260,533488320,85694,4068,348603192,187409,2164,405553076,21107,2436,51416652,683,2048,1398784,2388819972
39,2015-03,3281,2064,6771984,30523,3844,117330412,28426,5528,157138928,133438,3060,408320280,16594,5108,84762152,46340,6004,278225360,126874,4260,540483240,86397,4068,351462996,189102,2164,409216728,21141,2436,51499476,689,2048,1411072,2406622628
38,2015-04,3077,2220,6830940,30853,3848,118722344,28625,4900,140262500,134052,3012,403764624,16586,5348,88701928,46127,4772,220118044,128057,4024,515301368,87247,3844,335377468,189345,2072,392322840,21319,2472,52700568,335,2248,753080,2274855704
37,2015-05,3100,2220,6882000,31365,3848,120692520,28815,4900,141193500,134658,3012,405589896,16593,5348,88739364,46193,4772,220432996,129100,4024,519498400,88174,3844,338940856,190257,2072,394212504,21470,2472,53073840,336,2248,755328,2290011204
36,2015-06,2947,2220,6542340,32032,3848,123259136,28993,4900,142065700,135680,3012,408668160,16631,5348,88942588,46398,4772,221411256,129222,4024,519989328,87328,3844,335688832,192245,2072,398331640,21434,2472,52984848,310,2248,696880,2298580708
35,2015-07,2747,2320,6373040,32702,3828,125183256,29127,4912,143071824,135755,3060,415410300,16318,4732,77216776,46689,4828,225414492,129771,4232,549190872,86175,4124,355385700,191894,2068,396836792,21298,2484,52904232,251,2312,580312,2347567596
34,2015-08,2735,2320,6345200,32988,3828,126278064,29045,4912,142669040,136627,3060,418078620,16142,4732,76383944,46795,4828,225926260,128828,4232,545200096,87263,4124,359872612,190631,2068,394224908,21320,2484,52958880,267,2312,617304,2348554928
33,2015-09,2789,2320,6470480,33045,3828,126496260,29208,4912,143469696,136210,3060,416802600,15958,4732,75513256,46787,4828,225887636,129356,4232,547434592,88133,4124,363460492,191773,2068,396586564,21261,2484,52812324,241,2312,557192,2355491092
32,2015-10,3044,2408,7329952,33817,4436,150012212,29644,5816,172409504,137338,3200,439481600,16256,5324,86546944,47296,5260,248776960,130860,4844,633885840,89212,4380,390748560,193088,2316,447191808,21605,2668,57642140,211,4584,967224,2634992744
31,2015-11,3139,2408,7558712,34208,4436,151746688,29664,5816,172525824,141867,3200,453974400,16427,5324,87457348,47777,5260,251307020,132080,4844,639795520,89629,4380,392575020,193828,2316,448905648,21906,2668,58445208,219,4584,1003896,2665295284
30,2015-12,3116,2408,7503328,34649,4436,153702964,29740,5816,172967840,144185,3200,461392000,16441,5324,87531884,48103,5260,253021780,131203,4844,635547332,89487,4380,391953060,195031,2316,451691796,21884,2668,58386512,173,4584,793032,2674491528
29,2016-01,2864,2152,6163328,34782,4000,139128000,29269,5428,158872132,138599,3124,432983276,16271,5308,86366468,46088,5680,261779840,133561,4356,581791716,88882,3884,345217688,189836,2224,422195264,23277,2336,54375072,37,3320,122840,2488995624
28,2016-02,2988,2152,6430176,35043,4000,140172000,29318,5428,159138104,138009,3124,431140116,16249,5308,86249692,46316,5680,263074880,133729,4356,582523524,89630,3884,348122920,195434,2224,434645216,23556,2336,55026816,41,3320,136120,2506659564
27,2016-03,3043,2152,6548536,35372,4000,141488000,29718,5428,161309304,138292,3124,432024208,16190,5308,85936520,46537,5680,264330160,135480,4356,590150880,89757,3884,348616188,196473,2224,436955952,23857,2336,55729952,24,3320,79680,2523169380
26,2016-04,2972,2452,7287344,35823,4008,143578584,29888,4940,147646720,138572,3056,423476032,16242,5556,90240552,46650,4884,227838600,134875,4184,564317000,90415,3932,355511780,197354,2132,420758728,24018,2420,58123560,92,2416,222272,2439001172
25,2016-05,2776,2452,6806752,35963,4008,144139704,29900,4940,147706000,139340,3056,425823040,16254,5556,90307224,46643,4884,227804412,134565,4184,563019960,90477,3932,355755564,197946,2132,422020872,24081,2420,58276020,90,2416,217440,2441876988
24,2016-06,2551,2452,6255052,36343,4008,145662744,30270,4940,149533800,139537,3056,426425072,16204,5556,90029424,46836,4884,228747024,134952,4184,564639168,89250,3932,350931000,197512,2132,421095584,24036,2420,58167120,71,2416,171536,2441657524
