,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,7573,2764,20931772,28485,3420,97418700,16725,5144,86033400,108328,3232,350116096,9639,5624,54209736,37237,8200,305343400,95130,5336,507613680,89175,3608,321743400,81825,2000,163650000,24446,2672,65319712,411,3072,1262592,1973642488
40,2015-02,7415,2764,20495060,28880,3420,98769600,16877,5144,86815288,108159,3232,349569888,9739,5624,54772136,37462,8200,307188400,96304,5336,513878144,90142,3608,325232336,83112,2000,166224000,24679,2672,65942288,434,3072,1333248,1990220388
39,2015-03,7769,2764,21473516,28821,3420,98567820,16991,5144,87401704,108509,3232,350701088,9877,5624,55548248,37454,8200,307122800,96862,5336,516855632,90591,3608,326852328,84271,2000,168542000,24728,2672,66073216,469,3072,1440768,2000579120
38,2015-04,7528,2684,20205152,28980,3516,101893680,16768,5364,89943552,108630,3072,333711360,9863,5024,49551712,37806,5988,226382328,97095,4680,454404600,90784,3676,333721984,82684,1924,159084016,24674,2712,66915888,41,9724,398684,1836212956
37,2015-05,7095,2684,19042980,29645,3516,104231820,17004,5364,91209456,108193,3072,332368896,9842,5024,49446208,37937,5988,227166756,97510,4680,456346800,91562,3676,336581912,80874,1924,155601576,24225,2712,65698200,42,9724,408408,1838103012
36,2015-06,5829,2684,15645036,30258,3516,106387128,17044,5364,91424016,107770,3072,331069440,10096,5024,50722304,38075,5988,227993100,97728,4680,457367040,90662,3676,333273512,78108,1924,150279792,23995,2712,65074440,25,9724,243100,1829478908
35,2015-07,4745,2960,14045200,30522,3668,111954696,16688,4788,79902144,107241,3096,332018136,9811,5052,49565172,38401,5868,225337068,98205,4556,447421980,89963,3792,341139696,77214,1864,143926896,23283,2804,65285532,21,3496,73416,1810669936
34,2015-08,4420,2960,13083200,31015,3668,113763020,17036,4788,81568368,107848,3096,333897408,9770,5052,49358040,38483,5868,225818244,98367,4556,448160052,91062,3792,345307104,78143,1864,145658552,23313,2804,65369652,19,3496,66424,1822050064
33,2015-09,4816,2960,14255360,31115,3668,114129820,17060,4788,81683280,107644,3096,333265824,9988,5052,50459376,38396,5868,225307728,97948,4556,446251088,91748,3792,347908416,77678,1864,144791792,23472,2804,65815488,8,3496,27968,1823896140
32,2015-10,5634,2888,16270992,31702,4332,137333064,17674,5380,95086120,110134,3484,383706856,10008,8304,83106432,39398,6752,266015296,99177,6124,607359948,92815,4156,385739140,79884,2096,167436864,23965,2968,71128120,31,7384,228904,2213411736
