,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
41,2015-01,1671,2096,3502416,3667,2504,9182168,2960,3268,9673280,15298,2892,44241816,537,3988,2141556,2384,3216,7666944,7709,2548,19642532,11520,3344,38522880,8367,1448,12115416,3056,1916,5855296,71,1760,124960,152669264
40,2015-02,1670,2096,3500320,3757,2504,9407528,2999,3268,9800732,15532,2892,44918544,534,3988,2129592,2407,3216,7740912,7777,2548,19815796,11636,3344,38910784,8608,1448,12464384,3036,1916,5816976,81,1760,142560,154648128
39,2015-03,1708,2096,3579968,3809,2504,9537736,2972,3268,9712496,15621,2892,45175932,527,3988,2101676,2411,3216,7753776,7758,2548,19767384,11643,3344,38934192,8902,1448,12890096,2924,1916,5602384,82,1760,144320,155199960
38,2015-04,1486,2232,3316752,3808,2676,10190208,3028,3400,10295200,15689,2736,42925104,467,3964,1851188,2370,3236,7669320,7836,2576,20185536,11685,3324,38840940,8771,1936,16980656,2938,1944,5711472,98,1688,165424,158131800
37,2015-05,1324,2232,2955168,3822,2676,10227672,2999,3400,10196600,15804,2736,43239744,466,3964,1847224,2392,3236,7740512,7616,2576,19618816,11725,3324,38973900,8688,1936,16819968,2928,1944,5692032,102,1688,172176,157483812
36,2015-06,1106,2232,2468592,3808,2676,10190208,3001,3400,10203400,15836,2736,43327296,464,3964,1839296,2359,3236,7633724,7525,2576,19384400,11595,3324,38541780,8456,1936,16370816,2880,1944,5598720,107,1688,180616,155738848
35,2015-07,816,2676,2183616,3896,2728,10628288,2896,3324,9626304,15665,2816,44112640,461,3996,1842156,2330,3272,7623760,7560,2616,19776960,11502,3472,39934944,8424,1832,15432768,2908,1928,5606624,52,1448,75296,156843356
34,2015-08,843,2676,2255868,3921,2728,10696488,2899,3324,9636276,15778,2816,44430848,469,3996,1874124,2330,3272,7623760,7525,2616,19685400,11782,3472,40907104,8470,1832,15517040,3024,1928,5830272,52,1448,75296,158532476
33,2015-09,894,2676,2392344,3966,2728,10819248,2919,3324,9702756,15770,2816,44408320,458,3996,1830168,2327,3272,7613944,7754,2616,20284464,11831,3472,41077232,8248,1832,15110336,3098,1928,5972944,37,1448,53576,159265332
32,2015-10,1140,2828,3223920,4048,3024,12241152,2978,3636,10828008,15928,3060,48739680,461,4236,1952796,2353,3616,8508448,7761,2980,23127780,11910,3672,43733520,8344,1544,12883136,3293,2020,6651860,55,3536,194480,172084780
