,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
47,2003-01,45,1772,79740,613,2152,1319176,1074,4356,4678344,1605,1536,2465280,66,2180,143880,335,2396,802660,2356,3360,7916160,692,2384,1649728,2150,1376,2958400,232,1352,313664,22327032
46,2003-02,40,1772,70880,645,2152,1388040,1075,4356,4682700,1611,1536,2474496,62,2180,135160,321,2396,769116,2347,3360,7885920,704,2384,1678336,2146,1376,2952896,227,1352,306904,22344448
45,2003-03,43,1772,76196,624,2152,1342848,1095,4356,4769820,1655,1536,2542080,67,2180,146060,319,2396,764324,2330,3360,7828800,704,2384,1678336,2184,1376,3005184,230,1352,310960,22464608
44,2003-04,44,1584,69696,607,2320,1408240,1090,3924,4277160,1668,1468,2448624,63,1884,118692,331,2396,793076,2371,3240,7682040,723,2488,1798824,2267,1496,3391432,225,1364,306900,22294684
43,2003-05,36,1584,57024,598,2320,1387360,1077,3924,4226148,1720,1468,2524960,66,1884,124344,332,2396,795472,2397,3240,7766280,711,2488,1768968,2288,1496,3422848,228,1364,310992,22384396
42,2003-06,36,1584,57024,591,2320,1371120,1074,3924,4214376,1712,1468,2513216,69,1884,129996,324,2396,776304,2446,3240,7925040,669,2488,1664472,2320,1496,3470720,236,1364,321904,22444172
41,2003-07,41,1736,71176,562,2208,1240896,1053,4356,4586868,1704,1464,2494656,64,2108,134912,327,2216,724632,2456,3152,7741312,670,2436,1632120,2294,1328,3046432,239,1316,314524,21987528
40,2003-08,42,1736,72912,568,2208,1254144,1074,4356,4678344,1922,1464,2813808,65,2108,137020,331,2216,733496,2490,3152,7848480,700,2436,1705200,2296,1328,3049088,240,1316,315840,22608332
39,2003-09,38,1736,65968,547,2208,1207776,1039,4356,4525884,1956,1464,2863584,64,2108,134912,328,2216,726848,2485,3152,7832720,721,2436,1756356,2271,1328,3015888,253,1316,332948,22462884
38,2003-10,36,2084,75024,577,2460,1419420,1037,5000,5185000,1950,1612,3143400,64,2108,134912,335,2352,787920,2520,3400,8568000,727,2728,1983256,2249,1532,3445468,248,1356,336288,25078688
37,2003-11,34,2084,70856,592,2460,1456320,990,5000,4950000,1926,1612,3104712,64,2108,134912,329,2352,773808,2513,3400,8544200,716,2728,1953248,2214,1532,3391848,242,1356,328152,24708056
36,2003-12,36,2084,75024,606,2460,1490760,978,5000,4890000,1894,1612,3053128,65,2108,137020,326,2352,766752,2558,3400,8697200,742,2728,2024176,2232,1532,3419424,236,1356,320016,24873500
35,2004-01,32,1860,59520,635,2320,1473200,1035,4200,4347000,1965,1576,3096840,73,2332,170236,334,2484,829656,2406,3360,8084160,730,2500,1825000,2223,1416,3147768,237,1256,297672,23331052
34,2004-02,29,1860,53940,641,2320,1487120,1041,4200,4372200,1919,1576,3024344,71,2332,165572,333,2484,827172,2404,3360,8077440,714,2500,1785000,2233,1416,3161928,235,1256,295160,23249876
33,2004-03,28,1860,52080,614,2320,1424480,1044,4200,4384800,1942,1576,3060592,71,2332,165572,339,2484,842076,2418,3360,8124480,718,2500,1795000,2267,1416,3210072,240,1256,301440,23360592
