,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
47,2003-01,27,1580,42660,3714,2144,7962816,4574,2656,12148544,15401,2516,38748916,1083,3108,3365964,3226,2204,7110104,6352,1924,12221248,6626,2352,15584352,25359,1528,38748552,2016,1492,3007872,138941028
46,2003-02,27,1580,42660,3688,2144,7907072,4516,2656,11994496,15654,2516,39385464,1084,3108,3369072,3216,2204,7088064,6524,1924,12552176,6614,2352,15556128,25883,1528,39549224,2046,1492,3052632,140496988
45,2003-03,27,1580,42660,3781,2144,8106464,4556,2656,12100736,15568,2516,39169088,1099,3108,3415692,3200,2204,7052800,6549,1924,12600276,6656,2352,15654912,26228,1528,40076384,2037,1492,3039204,141258216
44,2003-04,36,1540,55440,3767,2152,8106584,4452,2720,12109440,15870,2048,32501760,1069,2952,3155688,3210,2228,7151880,6774,1996,13520904,6674,2492,16631608,27022,1448,39127856,2089,1464,3058296,135419456
43,2003-05,37,1540,56980,3761,2152,8093672,4710,2720,12811200,16325,2048,33433600,1068,2952,3152736,3244,2228,7227632,6625,1996,13223500,6725,2492,16758700,27222,1448,39417456,2151,1464,3149064,137324540
42,2003-06,37,1540,56980,3739,2152,8046328,4687,2720,12748640,16504,2048,33800192,1079,2952,3185208,3277,2228,7301156,6522,1996,13017912,6642,2492,16551864,27392,1448,39663616,2151,1464,3149064,137520960
41,2003-07,40,1400,56000,3755,2236,8396180,4626,2636,12194136,16650,1908,31768200,1090,2844,3099960,3293,2260,7442180,6221,2004,12466884,6596,2452,16173392,27526,1496,41178896,2070,1560,3229200,136005028
40,2003-08,35,1400,49000,3836,2236,8577296,4566,2636,12035976,16865,1908,32178420,1090,2844,3099960,3317,2260,7496420,6382,2004,12789528,6816,2452,16712832,27311,1496,40857256,2046,1560,3191760,136988448
39,2003-09,34,1400,47600,3754,2236,8393944,4574,2636,12057064,16973,1908,32384484,1088,2844,3094272,3316,2260,7494160,6491,2004,13007964,6828,2452,16742256,26821,1496,40124216,2039,1560,3180840,136526800
38,2003-10,30,2212,66360,3828,2408,9217824,4573,2860,13078780,16827,2060,34663620,1086,3200,3475200,3349,2348,7863452,6539,2324,15196636,6755,2884,19481420,26513,1460,38708980,2041,1568,3200288,144952560
37,2003-11,32,2212,70784,3755,2408,9042040,4589,2860,13124540,17071,2060,35166260,1074,3200,3436800,3316,2348,7785968,6508,2324,15124592,6782,2884,19559288,26321,1460,38428660,2022,1568,3170496,144909428
36,2003-12,33,2212,72996,3728,2408,8977024,4593,2860,13135980,17131,2060,35289860,1096,3200,3507200,3358,2348,7884584,6468,2324,15031632,6825,2884,19683300,26130,1460,38149800,2025,1568,3175200,144907576
35,2004-01,25,1164,29100,3671,2024,7430104,4429,2668,11816572,15872,2164,34347008,1101,3248,3576048,3287,2272,7468064,6444,2084,13429296,6776,2428,16452128,25816,1544,39859904,1988,1492,2966096,137374320
