,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
47,2003-01,23.0,1644.0,37812.0,3796.0,3316.0,12587536.0,14847,3260,48401220,6141,1544,9481704,941,1992,1874472,1453,1920,2789760,3383,2212,7483196,2649,2220,5880780,3641,800,2912800,1056,1452,1533312,92982592.0
46,2003-02,25.0,1644.0,41100.0,4269.0,3316.0,14156004.0,14720,3260,47987200,6132,1544,9467808,915,1992,1822680,1462,1920,2807040,3371,2212,7456652,2660,2220,5905200,3748,800,2998400,1096,1452,1591392,94233476.0
45,2003-03,24.0,1644.0,39456.0,3646.0,3316.0,12090136.0,14729,3260,48016540,6164,1544,9517216,915,1992,1822680,1442,1920,2768640,3218,2212,7118216,2706,2220,6007320,3839,800,3071200,1106,1452,1605912,92057316.0
44,2003-04,25.0,1740.0,43500.0,3094.0,2752.0,8514688.0,14419,3600,51908400,5999,1512,9070488,922,2148,1980456,1434,1980,2839320,3244,2144,6955136,2747,2456,6746632,3971,796,3160916,1072,1428,1530816,92750352.0
43,2003-05,26.0,1740.0,45240.0,2586.0,2752.0,7116672.0,14439,3600,51980400,6153,1512,9303336,875,2148,1879500,1471,1980,2912580,3225,2144,6914400,2755,2456,6766280,4019,796,3199124,1083,1428,1546524,91664056.0
42,2003-06,32.0,1740.0,55680.0,2323.0,2752.0,6392896.0,14342,3600,51631200,6174,1512,9335088,905,2148,1943940,1461,1980,2892780,3307,2144,7090208,2697,2456,6623832,4000,796,3184000,1059,1428,1512252,90661876.0
41,2003-07,,,,,,,14054,3336,46884144,6218,1572,9774696,939,1948,1829172,1464,1988,2910432,3516,2064,7257024,2683,2532,6793356,3950,792,3128400,997,1380,1375860,
40,2003-08,,,,,,,14134,3336,47151024,6190,1572,9730680,939,1948,1829172,1468,1988,2918384,3513,2064,7250832,2746,2532,6952872,4029,792,3190968,952,1380,1313760,
39,2003-09,,,,,,,14520,3336,48438720,6070,1572,9542040,997,1948,1942156,1478,1988,2938264,3531,2064,7287984,2811,2532,7117452,3927,792,3110184,984,1380,1357920,
38,2003-10,,,,,,,15197,3444,52338468,6232,1648,10270336,1010,2152,2173520,1474,2412,3555288,3529,2416,8526064,2839,2904,8244456,3972,808,3209376,975,1500,1462500,
