,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,2282,4496,10259872,13665,2528,34545120,18046,2840,51250640,53072,2308,122490176,3500,3192,11172000,13862,3072,42584064,27394,2252,61691288,22338,2304,51466752,25637,1380,35379060,6754,1936,13075744,301,1660,499660,434414376
46,2003-02,2278,4496,10241888,13652,2528,34512256,18194,2840,51670960,52924,2308,122148592,3496,3192,11159232,13934,3072,42805248,27806,2252,62619112,22305,2304,51390720,25884,1380,35719920,6833,1936,13228688,312,1660,517920,436014536
45,2003-03,2279,4496,10246384,13959,2528,35288352,18115,2840,51446600,53199,2308,122783292,3451,3192,11015592,13893,3072,42679296,27757,2252,62508764,22421,2304,51657984,26140,1380,36073200,6845,1936,13251920,308,1660,511280,437462664
44,2003-04,2324,4460,10365040,14603,2560,37383680,17891,3016,53959256,52616,2276,119754016,3342,2976,9945792,13976,2976,41592576,28036,2304,64594944,22489,2304,51814656,26269,1236,32468484,6914,1840,12721760,279,1852,516708,435116912
43,2003-05,2316,4460,10329360,14461,2560,37020160,18081,3016,54532296,52855,2276,120297980,3376,2976,10046976,14066,2976,41860416,28347,2304,65311488,22593,2304,52054272,26669,1236,32962884,6918,1840,12729120,320,1852,592640,437737592
42,2003-06,2339,4460,10431940,14686,2560,37596160,18192,3016,54867072,52994,2276,120614344,3440,2976,10237440,14124,2976,42033024,28088,2304,64714752,22718,2304,52342272,26929,1236,33284244,6934,1840,12758560,338,1852,625976,439505784
41,2003-07,2366,4140,9795240,14072,2576,36249472,18242,2792,50931664,52602,2304,121195008,3398,3004,10207592,14157,3036,42980652,27856,2244,62508864,22864,2428,55513792,26843,1348,36184364,6760,1908,12898080,187,1888,353056,438817784
40,2003-08,2315,4140,9584100,13949,2576,35932624,18208,2792,50836736,52694,2304,121406976,3423,3004,10282692,14203,3036,43120308,28134,2244,63132696,23011,2428,55870708,26837,1348,36176276,6679,1908,12743532,190,1888,358720,439445368
39,2003-09,2298,4140,9513720,13946,2576,35924896,18169,2792,50727848,52532,2304,121033728,3377,3004,10144508,14127,3036,42889572,27707,2244,62174508,22966,2428,55761448,26226,1348,35352648,6655,1908,12697740,204,1888,385152,436605768
38,2003-10,2376,5124,12174624,14247,2852,40632444,18388,2964,54502032,52927,2424,128295048,3332,3332,11102224,14148,3256,46065888,28112,2692,75677504,22894,2700,61813800,25379,1608,40809432,6875,2140,14712500,173,3192,552216,486337712
37,2003-11,2383,5124,12210492,13979,2852,39868108,18253,2964,54101892,54482,2424,132064368,3360,3332,11195520,14098,3256,45903088,28337,2692,76283204,23107,2700,62388900,25307,1608,40693656,6873,2140,14708220,174,3192,555408,489972856
36,2003-12,2376,5124,12174624,13731,2852,39160812,18566,2964,55029624,55214,2424,133838736,3409,3332,11358788,14197,3256,46225432,28462,2692,76619704,23118,2700,62418600,25185,1608,40497480,6807,2140,14566980,202,3192,644784,492535564
35,2004-01,2168,4392,9521856,13109,2548,33401732,18249,3004,54819996,53277,2340,124668180,3893,3368,13111624,14276,3148,44940848,28047,2344,65742168,23481,2284,53630604,24835,1504,37351840,6529,1956,12770724,190,2272,431680,450391252
34,2004-02,2231,4392,9798552,13202,2548,33638696,18090,3004,54342360,53117,2340,124293780,3900,3368,13135200,14314,3148,45060472,28186,2344,66067984,23968,2284,54742912,25011,1504,37616544,6496,1956,12706176,194,2272,440768,451843444
33,2004-03,2306,4392,10127952,13272,2548,33817056,18132,3004,54468528,53383,2340,124916220,3900,3368,13135200,14224,3148,44777152,28594,2344,67024336,23001,2284,52534284,25220,1504,37930880,6588,1956,12886128,214,2272,486208,452103944
32,2004-04,2178,4528,9861984,13462,2652,35701224,18113,2900,52527700,53743,2344,125973592,3850,3156,12150600,14264,3068,43761952,28480,2416,68807680,23194,2400,55665600,25892,1180,30552560,6624,1924,12744576,180,2340,421200,448168668
31,2004-05,2153,4528,9748784,13476,2652,35738352,18222,2900,52843800,53802,2344,126111888,3843,3156,12128508,14202,3068,43571736,28811,2416,69607376,23165,2400,55596000,26468,1180,31232240,6582,1924,12663768,179,2340,418860,449661312
30,2004-06,2161,4528,9785008,13436,2652,35632272,18363,2900,53252700,53780,2344,126060320,3864,3156,12194784,14324,3068,43946032,28700,2416,69339200,23323,2400,55975200,27300,1180,32214000,6507,1924,12519468,190,2340,444600,451363584
29,2004-07,2030,4560,9256800,13527,2648,35819496,18493,3020,55848860,53384,2388,127480992,3589,3276,11757564,14619,3060,44734140,28138,2412,67868856,23860,2580,61558800,27041,1248,33747168,6550,2052,13440600,183,2016,368928,461882204
28,2004-08,2069,4560,9434640,13382,2648,35435536,18451,3020,55722020,53185,2388,127005780,3501,3276,11469276,14681,3060,44923860,28306,2412,68274072,23092,2580,59577360,26833,1248,33487584,6544,2052,13428288,193,2016,389088,459147504
27,2004-09,2105,4560,9598800,13395,2648,35469960,18413,3020,55607260,52519,2388,125415372,3422,3276,11210472,14649,3060,44825940,27925,2412,67355100,22827,2580,58893660,26158,1248,32645184,6487,2052,13311324,191,2016,385056,454718128
26,2004-10,2206,4688,10341728,13622,2988,40702536,18066,3160,57088560,52888,2588,136874144,3390,3780,12814200,14536,3672,53376192,28739,2888,82998232,23183,2844,65932452,26016,1720,44747520,6720,2268,15240960,169,3616,611104,520727628
25,2004-11,2239,4688,10496432,13689,2988,40902732,17800,3160,56248000,53714,2588,139011832,3443,3780,13014540,14380,3672,52803360,28790,2888,83145520,24773,2844,70454412,26137,1720,44955640,6667,2268,15120756,183,3616,661728,526814952
24,2004-12,2227,4688,10440176,13620,2988,40696560,18021,3160,56946360,54887,2588,142047556,3469,3780,13112820,14479,3672,53166888,28458,2888,82186704,23326,2844,66339144,26275,1720,45193000,6698,2268,15191064,185,3616,668960,525989232
23,2005-01,1997,5224,10432328,12818,2720,34864960,17557,3124,54848068,52120,2404,125296480,3246,3632,11789472,14179,3432,48662328,28303,2516,71210348,25452,2584,65767968,25756,1524,39252144,6175,1884,11633700,172,2140,368080,474125876
22,2005-02,2037,5224,10641288,12677,2720,34481440,17564,3124,54869936,51642,2404,124147368,3221,3632,11698672,14260,3432,48940320,28555,2516,71844380,24867,2584,64256328,25868,1524,39422832,6132,1884,11552688,185,2140,395900,472251152
