,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,4821,8608,41499168,6615,2532,16749180,8086,3320,26845520,37778,2472,93387216,5041,3084,15546444,14917,3312,49405104,33435,3000,100305000,36209,2600,94143400,39669,1512,59979528,7500,1576,11820000,345,2500,862500,510543060
46,2003-02,4821,8608,41499168,6635,2532,16799820,7958,3320,26420560,37755,2472,93330360,4907,3084,15133188,14818,3312,49077216,33570,3000,100710000,36535,2600,94991000,40587,1512,61367544,7559,1576,11912984,356,2500,890000,512131840
45,2003-03,4809,8608,41395872,6603,2532,16718796,8027,3320,26649640,37658,2472,93090576,5128,3084,15814752,14681,3312,48623472,34266,3000,102798000,35407,2600,92058200,40845,1512,61757640,7570,1576,11930320,359,2500,897500,511734768
44,2003-04,4818,6716,32357688,7271,2592,18846432,7977,3192,25462584,37546,2460,92363160,5294,2792,14780848,14584,3044,44393696,34682,2928,101548896,36780,2664,97981920,42068,1460,61419280,7417,1556,11540852,427,2184,932568,501627924
43,2003-05,4830,6716,32438280,7321,2592,18976032,8045,3192,25679640,37444,2460,92112240,5638,2792,15741296,14478,3044,44071032,33651,2928,98530128,36158,2664,96324912,41434,1460,60493640,7439,1556,11575084,425,2184,928200,496870484
42,2003-06,4864,6716,32666624,7394,2592,19165248,8084,3192,25804128,37658,2460,92638680,5912,2792,16506304,14486,3044,44095384,33504,2928,98099712,36420,2664,97022880,41590,1460,60721400,7435,1556,11568860,436,2184,952224,499241444
41,2003-07,4793,6636,31806348,7050,2628,18527400,8019,3184,25532496,37516,2484,93189744,4404,3164,13934256,14622,2964,43339608,33164,3260,108114640,35774,2784,99594816,41398,1392,57626016,7426,1584,11762784,271,2080,563680,503991788
40,2003-08,4607,6636,30572052,7001,2628,18398628,7980,3184,25408320,37794,2484,93880296,4670,3164,14775880,14714,2964,43612296,32746,3260,106751960,35291,2784,98250144,41047,1392,57137424,7448,1584,11797632,278,2080,578240,501162872
39,2003-09,4530,6636,30061080,6962,2628,18296136,7938,3184,25274592,37494,2484,93135096,4655,3164,14728420,14534,2964,43078776,32898,3260,107247480,35686,2784,99349824,41207,1392,57360144,7400,1584,11721600,279,2080,580320,500833468
38,2003-10,4450,6888,30651600,6971,2928,20411088,7933,3380,26813540,37089,2660,98656740,4381,3444,15088164,14512,3336,48412032,34314,3752,128746128,35897,2768,99362896,41293,1576,65077768,7966,1792,14275072,300,2404,721200,548216228
37,2003-11,4438,6888,30568944,6711,2928,19649808,7969,3380,26935220,37629,2660,100093140,4429,3444,15253476,14473,3336,48281928,34901,3752,130948552,37811,2768,104660848,41072,1576,64729472,7953,1792,14251776,302,2404,726008,556099172
36,2003-12,4457,6888,30699816,6652,2928,19477056,8060,3380,27242800,37851,2660,100683660,4327,3444,14902188,14511,3336,48408696,35118,3752,131762736,36274,2768,100406432,41582,1576,65533232,7980,1792,14300160,353,2404,848612,554265388
35,2004-01,4434,9212,40846008,6421,2696,17311016,7746,3464,26832144,36419,2624,95563456,3983,3308,13175764,13210,3636,48031560,33989,3696,125623344,35291,2620,92462420,41552,1556,64654912,7364,1672,12312608,388,1964,762032,537575264
34,2004-02,4456,9212,41048672,6282,2696,16936272,7600,3464,26326400,36567,2624,95951808,4297,3308,14214476,13199,3636,47991564,34419,3696,127212624,35614,2620,93308680,42498,1556,66126888,7415,1672,12397880,391,1964,767924,542283188
33,2004-03,4473,9212,41205276,6320,2696,17038720,7636,3464,26451104,36852,2624,96699648,4280,3308,14158240,13229,3636,48100644,34869,3696,128875824,35641,2620,93379420,43310,1556,67390360,7468,1672,12486496,411,1964,807204,546592936
32,2004-04,4409,7436,32785324,6399,2856,18275544,7523,3408,25638384,36592,2500,91480000,5183,2932,15196556,13209,3348,44223732,35408,2796,99000768,35733,2720,97193760,42980,1524,65501520,7433,1684,12517172,353,2028,715884,502528644
31,2004-05,4379,7436,32562244,6438,2856,18386928,7585,3408,25849680,36738,2500,91845000,4819,2932,14129308,13253,3348,44371044,35105,2796,98153580,35386,2720,96249920,43114,1524,65705736,7421,1684,12496964,360,2028,730080,500480484
30,2004-06,4342,7436,32287112,6386,2856,18238416,7682,3408,26180256,36702,2500,91755000,5090,2932,14923880,13210,3348,44227080,35379,2796,98919684,35674,2720,97033280,43525,1524,66332100,7377,1684,12422868,369,2028,748332,503068008
29,2004-07,4231,6776,28669256,6128,2768,16962304,7720,3488,26927360,36214,2540,91983560,4301,2964,12748164,13353,3228,43103484,32738,2936,96118768,34982,2912,101867584,42767,1408,60215936,7451,1696,12636896,311,2004,623244,491856556
