,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,1807,4844,8753108,1813,2740,4967620,2170,4316,9365720,3290,2780,9146200,,,,722,2584,1865648,917,3100,2842700,505,1764,890820,869,1628,1414732,289.0,2440.0,705160.0,,,,
46,2003-02,1790,4844,8670760,1798,2740,4926520,2155,4316,9300980,3246,2780,9023880,,,,730,2584,1886320,902,3100,2796200,496,1764,874944,914,1628,1487992,277.0,2440.0,675880.0,,,,
45,2003-03,1791,4844,8675604,1803,2740,4940220,2166,4316,9348456,3265,2780,9076700,,,,724,2584,1870816,920,3100,2852000,495,1764,873180,948,1628,1543344,271.0,2440.0,661240.0,,,,
44,2003-04,1865,4272,7967280,1794,2652,4757688,2046,4012,8208552,3280,2704,8869120,,,,686,2928,2008608,949,3128,2968472,490,1588,778120,909,1572,1428948,276.0,2328.0,642528.0,,,,
43,2003-05,1882,4272,8039904,1788,2652,4741776,2034,4012,8160408,3332,2704,9009728,,,,694,2928,2032032,981,3128,3068568,508,1588,806704,1003,1572,1576716,273.0,2328.0,635544.0,,,,
42,2003-06,1925,4272,8223600,1786,2652,4736472,2006,4012,8048072,3370,2704,9112480,,,,707,2928,2070096,956,3128,2990368,507,1588,805116,950,1572,1493400,288.0,2328.0,670464.0,,,,
41,2003-07,1839,4460,8201940,1617,3004,4857468,2028,4376,8874528,3293,2796,9207228,,,,717,2700,1935900,939,2952,2771928,493,1992,982056,1003,1456,1460368,292.0,2568.0,749856.0,,,,
40,2003-08,1842,4460,8215320,1656,3004,4974624,2047,4376,8957672,3321,2796,9285516,,,,732,2700,1976400,965,2952,2848680,510,1992,1015920,1039,1456,1512784,275.0,2568.0,706200.0,,,,
39,2003-09,1843,4460,8219780,1607,3004,4827428,2043,4376,8940168,3277,2796,9162492,,,,740,2700,1998000,974,2952,2875248,615,1992,1225080,996,1456,1450176,267.0,2568.0,685656.0,,,,
38,2003-10,1986,4412,8762232,1584,3292,5214528,2083,4120,8581960,3289,2892,9511788,64.0,2256.0,144384.0,741,3488,2584608,986,3652,3600872,616,1860,1145760,917,1536,1408512,284.0,2904.0,824736.0,0.0,0.0,0.0,41779380.0
