,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,77,3876,298452,1472,2532,3727104,1722,4288,7383936,3825,1776,6793200,98,3708,363384,628,2112,1326336,824,2184,1799616,2509,2008,5038072,1890,712,1345680,764,1648,1259072,14,3508,49112,29383964
46,2003-02,73,3876,282948,1525,2532,3861300,1747,4288,7491136,3799,1776,6747024,98,3708,363384,624,2112,1317888,860,2184,1878240,2489,2008,4997912,1951,712,1389112,755,1648,1244240,14,3508,49112,29622296
45,2003-03,74,3876,286824,1427,2532,3613164,1724,4288,7392512,3922,1776,6965472,98,3708,363384,626,2112,1322112,860,2184,1878240,2512,2008,5044096,1950,712,1388400,749,1648,1234352,15,3508,52620,29541176
44,2003-04,78,3660,285480,1562,2904,4536048,1804,4320,7793280,3860,1820,7025200,106,2992,317152,626,2168,1357168,872,2088,1820736,2546,1956,4979976,1939,752,1458128,748,1644,1229712,32,2024,64768,30867648
43,2003-05,76,3660,278160,1667,2904,4840968,1807,4320,7806240,3875,1820,7052500,111,2992,332112,624,2168,1352832,772,2088,1611936,2523,1956,4934988,1971,752,1482192,748,1644,1229712,32,2024,64768,30986408
42,2003-06,72,3660,263520,1602,2904,4652208,1810,4320,7819200,3861,1820,7027020,114,2992,341088,629,2168,1363672,759,2088,1584792,2567,1956,5021052,1933,752,1453616,751,1644,1234644,32,2024,64768,30825580
41,2003-07,73,6656,485888,1625,2812,4569500,1809,4440,8031960,3826,1820,6963320,116,2840,329440,643,1932,1242276,756,2112,1596672,2636,2128,5609408,1902,736,1399872,725,1684,1220900,11,716,7876,31457112
40,2003-08,74,6656,492544,1590,2812,4471080,1819,4440,8076360,3786,1820,6890520,118,2840,335120,639,1932,1234548,774,2112,1634688,2606,2128,5545568,1993,736,1466848,765,1684,1288260,13,716,9308,31444844
39,2003-09,73,6656,485888,1531,2812,4305172,1793,4440,7960920,3762,1820,6846840,112,2840,318080,637,1932,1230684,759,2112,1603008,2598,2128,5528544,1956,736,1439616,735,1684,1237740,13,716,9308,30965800
38,2003-10,73,3820,278860,1292,3100,4005200,1799,4876,8771924,3795,1944,7377480,111,3232,358752,636,2348,1493328,744,2544,1892736,2598,2460,6391080,1897,808,1532776,792,1700,1346400,22,600,13200,33461736
