,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,326,2176,709376,3944,2452,9670688,2160,2356,5088960,14728,2060,30339680,934,2676,2499384,3150,2764,8706600,5106,2268,11580408,9029,2148,19394292,8024,844,6772256,1698,1504,2553792,74,2300,170200,97485636
46,2003-02,332,2176,722432,3948,2452,9680496,2172,2356,5117232,14726,2060,30335560,942,2676,2520792,3185,2764,8803340,5233,2268,11868444,9148,2148,19649904,8148,844,6876912,1689,1504,2540256,75,2300,172500,98287868
45,2003-03,343,2176,746368,4039,2452,9903628,2183,2356,5143148,14863,2060,30617780,941,2676,2518116,3212,2764,8877968,5339,2268,12108852,9188,2148,19735824,8168,844,6893792,1747,1504,2627488,77,2300,177100,99350064
44,2003-04,342,2196,751032,4052,2380,9643760,2195,2400,5268000,15031,2004,30122124,995,2448,2435760,3277,2656,8703712,5433,2340,12713220,9361,2152,20144872,8357,828,6919596,1799,1484,2669716,91,1940,176540,99548332
43,2003-05,353,2196,775188,4118,2380,9800840,2191,2400,5258400,15015,2004,30090060,1008,2448,2467584,3291,2656,8740896,5444,2340,12738960,9386,2152,20198672,8542,828,7072776,1854,1484,2751336,98,1940,190120,100084832
42,2003-06,359,2196,788364,4088,2380,9729440,2207,2400,5296800,15189,2004,30438756,1013,2448,2479824,3332,2656,8849792,5498,2340,12865320,9452,2152,20340704,8724,828,7223472,1783,1484,2645972,104,1940,201760,100860204
41,2003-07,335,2492,834820,4149,2396,9941004,2111,2452,5176172,15341,2028,31111548,1049,2484,2605716,3306,2868,9481608,5505,2572,14158860,9295,2356,21899020,8719,856,7463464,1748,1576,2754848,52,2912,151424,105578484
40,2003-08,346,2492,862232,4113,2396,9854748,2092,2452,5129584,15495,2028,31423860,1046,2484,2598264,3322,2868,9527496,5501,2572,14148572,9357,2356,22045092,8710,856,7455760,1739,1576,2740664,57,2912,165984,105952256
39,2003-09,349,2492,869708,4043,2396,9687028,2085,2452,5112420,15468,2028,31369104,1036,2484,2573424,3341,2868,9581988,5482,2572,14099704,9402,2356,22151112,8458,856,7240048,1727,1576,2721752,73,2912,212576,105618864
38,2003-10,375,2360,885000,3988,2724,10863312,2036,2768,5635648,15681,2108,33055548,1060,2568,2722080,3353,2848,9549344,5519,2808,15497352,9322,2536,23640592,8204,864,7088256,1762,1788,3150456,74,3184,235616,112323204
37,2003-11,370,2360,873200,4033,2724,10985892,1914,2768,5297952,15910,2108,33538280,1059,2568,2719512,3358,2848,9563584,5668,2808,15915744,9371,2536,23764856,8202,864,7086528,1780,1788,3182640,76,3184,241984,113170172
36,2003-12,366,2360,863760,4065,2724,11073060,1953,2768,5405904,16370,2108,34507960,1080,2568,2773440,3377,2848,9617696,5692,2808,15983136,9301,2536,23587336,8289,864,7161696,1752,1788,3132576,78,3184,248352,114354916
35,2004-01,342,2892,989064,4038,2220,8964360,1929,2504,4830216,16393,2116,34687588,1120,2644,2961280,3331,2924,9739844,6039,2324,14034636,9327,2212,20631324,8135,856,6963560,1652,1540,2544080,76,3036,230736,106576688
34,2004-02,350,2892,1012200,3978,2220,8831160,1956,2504,4897824,16421,2116,34746836,1162,2644,3072328,3372,2924,9859728,6087,2324,14146188,9294,2212,20558328,8179,856,7001224,1673,1540,2576420,82,3036,248952,106951188
33,2004-03,352,2892,1017984,4051,2220,8993220,1945,2504,4870280,16730,2116,35400680,1182,2644,3125208,3417,2924,9991308,6146,2324,14283304,9276,2212,20518512,8186,856,7007216,1679,1540,2585660,83,3036,251988,108045360
32,2004-04,337,2752,927424,4122,2236,9216792,1907,2524,4813268,16432,2084,34244288,1168,2488,2905984,3508,2708,9499664,6099,2628,16028172,9516,2236,21277776,8485,848,7195280,1714,1572,2694408,59,2760,162840,108965896
31,2004-05,344,2752,946688,4146,2236,9270456,1897,2524,4788028,16477,2084,34338068,1169,2488,2908472,3455,2708,9356140,6001,2628,15770628,9581,2236,21423116,8704,848,7380992,1739,1572,2733708,62,2760,171120,109087416
30,2004-06,347,2752,954944,4251,2236,9505236,1931,2524,4873844,16480,2084,34344320,1168,2488,2905984,3518,2708,9526744,6030,2628,15846840,9579,2236,21418644,9014,848,7643872,1820,1572,2861040,64,2760,176640,110058108
