,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,5251,3960,20793960,3563,2520,8978760,4271,2832,12095472,11291,2128,24027248,484,2356,1140304,2822,2972,8386984,2974,2208,6566592,5792,2332,13506944,3992,944,3768448,1436,2244,3222384,3,5880,17640,102504736
46,2003-02,5436,3960,21526560,3620,2520,9122400,4187,2832,11857584,11215,2128,23865520,478,2356,1126168,2837,2972,8431564,3031,2208,6692448,5799,2332,13523268,4011,944,3786384,1436,2244,3222384,2,5880,11760,103166040
45,2003-03,5435,3960,21522600,3545,2520,8933400,4211,2832,11925552,11219,2128,23874032,477,2356,1123812,2826,2972,8398872,2980,2208,6579840,5811,2332,13551252,4088,944,3859072,1459,2244,3273996,3,5880,17640,103060068
44,2003-04,5526,3988,22037688,3440,2588,8902720,4253,2980,12673940,11208,2176,24388608,475,2064,980400,2864,2876,8236864,3018,2288,6905184,5746,2376,13652496,4163,932,3879916,1507,2068,3116476,8,2332,18656,104792948
43,2003-05,5575,3988,22233100,3561,2588,9215868,4381,2980,13055380,11296,2176,24580096,471,2064,972144,2867,2876,8245492,2949,2288,6747312,5804,2376,13790304,4284,932,3992688,1530,2068,3164040,8,2332,18656,106015080
42,2003-06,5576,3988,22237088,3580,2588,9265040,4444,2980,13243120,11342,2176,24680192,485,2064,1001040,2854,2876,8208104,2917,2288,6674096,5828,2376,13847328,4491,932,4185612,1536,2068,3176448,9,2332,20988,106539056
41,2003-07,5227,3992,20866184,3714,2628,9760392,4430,3100,13733000,11321,2168,24543928,463,2196,1016748,2900,2832,8212800,2904,2348,6818592,5834,2492,14538328,4417,964,4257988,1544,2132,3291808,10,1748,17480,107057248
40,2003-08,5474,3992,21852208,3732,2628,9807696,4482,3100,13894200,11291,2168,24478888,464,2196,1018944,2931,2832,8300592,2959,2348,6947732,5825,2492,14515900,4415,964,4256060,1553,2132,3310996,10,1748,17480,108400696
39,2003-09,5351,3992,21361192,3775,2628,9920700,4437,3100,13754700,11275,2168,24444200,458,2196,1005768,2896,2832,8201472,2982,2348,7001736,5826,2492,14518392,4276,964,4122064,1531,2132,3264092,10,1748,17480,107611796
38,2003-10,5655,4168,23570040,3807,2816,10720512,4514,3488,15744832,11114,2148,23872872,464,2588,1200832,2917,3268,9532756,3140,2724,8553360,5962,2696,16073552,4118,972,4002696,1476,2588,3819888,6,1712,10272,117101612
37,2003-11,5491,4168,22886488,3782,2816,10650112,4379,3488,15273952,11206,2148,24070488,475,2588,1229300,2920,3268,9542560,3042,2724,8286408,6106,2696,16461776,4042,972,3928824,1495,2588,3869060,9,1712,15408,116214376
36,2003-12,4824,4168,20106432,3698,2816,10413568,4372,3488,15249536,11309,2148,24291732,466,2588,1206008,2956,3268,9660208,3111,2724,8474364,6127,2696,16518392,4059,972,3945348,1526,2588,3949288,8,1712,13696,113828572
35,2004-01,4665,4256,19854240,3444,2576,8871744,4190,3104,13005760,11010,2100,23121000,458,2396,1097368,2800,3056,8556800,3156,2256,7119936,6058,2256,13666848,4173,924,3855852,1501,2368,3554368,9,1804,16236,102720152
34,2004-02,4922,4256,20948032,3429,2576,8833104,4188,3104,12999552,10947,2100,22988700,461,2396,1104556,2810,3056,8587360,3184,2256,7183104,6065,2256,13682640,4218,924,3897432,1509,2368,3573312,10,1804,18040,103815832
33,2004-03,4875,4256,20748000,3412,2576,8789312,4182,3104,12980928,11070,2100,23247000,459,2396,1099764,2833,3056,8657648,3309,2256,7465104,6056,2256,13662336,4303,924,3975972,1528,2368,3618304,15,1804,27060,104271428
