,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2003-01,256,1392,356352,544,1528,831232,1204,3232,3891328,2108,1412,2976496,138,2204,304152,407,1820,740740,747,1456,1087632,1225,1376,1685600,669,696,465624,214,1236,264504,6,268,1608,12605268
46,2003-02,261,1392,363312,539,1528,823592,1185,3232,3829920,2100,1412,2965200,133,2204,293132,407,1820,740740,681,1456,991536,1232,1376,1695232,675,696,469800,221,1236,273156,6,268,1608,12447228
45,2003-03,277,1392,385584,561,1528,857208,1162,3232,3755584,2130,1412,3007560,133,2204,293132,402,1820,731640,601,1456,875056,1244,1376,1711744,711,696,494856,215,1236,265740,6,268,1608,12379712
44,2003-04,250,1580,395000,540,1632,881280,1144,3264,3734016,2083,1464,3049512,140,2040,285600,414,1816,751824,579,1640,949560,1214,1524,1850136,694,684,474696,216,1268,273888,10,868,8680,12654192
43,2003-05,280,1580,442400,554,1632,904128,1157,3264,3776448,2063,1464,3020232,138,2040,281520,419,1816,760904,628,1640,1029920,1223,1524,1863852,709,684,484956,211,1268,267548,11,868,9548,12841456
42,2003-06,283,1580,447140,539,1632,879648,1149,3264,3750336,2053,1464,3005592,132,2040,269280,419,1816,760904,604,1640,990560,1212,1524,1847088,700,684,478800,212,1268,268816,12,868,10416,12708580
41,2003-07,284,1596,453264,492,1564,769488,1180,3332,3931760,2000,1536,3072000,134,2080,278720,433,1808,782864,585,1692,989820,1130,1380,1559400,677,708,479316,217,1384,300328,6,768,4608,12621568
40,2003-08,223,1596,355908,524,1564,819536,1179,3332,3928428,2033,1536,3122688,134,2080,278720,432,1808,781056,577,1692,976284,1160,1380,1600800,719,708,509052,210,1384,290640,7,768,5376,12668488
39,2003-09,267,1596,426132,564,1564,882096,1176,3332,3918432,2059,1536,3162624,139,2080,289120,425,1808,768400,551,1692,932292,1188,1380,1639440,719,708,509052,205,1384,283720,7,768,5376,12816684
38,2003-10,287,1604,460348,579,1700,984300,1120,3840,4300800,2066,1568,3239488,139,2144,298016,404,2152,869408,608,1712,1040896,1162,1540,1789480,676,712,481312,223,1352,301496,2,548,1096,13766640
37,2003-11,260,1604,417040,603,1700,1025100,1147,3840,4404480,2090,1568,3277120,138,2144,295872,407,2152,875864,632,1712,1081984,1139,1540,1754060,684,712,487008,218,1352,294736,2,548,1096,13914360
36,2003-12,207,1604,332028,781,1700,1327700,1139,3840,4373760,2119,1568,3322592,143,2144,306592,413,2152,888776,633,1712,1083696,1150,1540,1771000,691,712,491992,221,1352,298792,2,548,1096,14198024
35,2004-01,188,1868,351184,448,1400,627200,1270,3380,4292600,2039,1520,3099280,131,2196,287676,418,1892,790856,594,1460,867240,1084,1376,1491584,653,740,483220,201,1324,266124,10,204,2040,12559004
34,2004-02,189,1868,353052,463,1400,648200,1270,3380,4292600,2016,1520,3064320,126,2196,276696,418,1892,790856,553,1460,807380,1094,1376,1505344,645,740,477300,201,1324,266124,10,204,2040,12483912
33,2004-03,196,1868,366128,500,1400,700000,1253,3380,4235140,2008,1520,3052160,127,2196,278892,424,1892,802208,571,1460,833660,1109,1376,1525984,673,740,498020,200,1324,264800,10,204,2040,12559032
32,2004-04,196,1924,377104,523,1508,788684,1260,3496,4404960,2016,1484,2991744,124,2232,276768,423,1912,808776,550,1556,855800,1134,1508,1710072,703,724,508972,209,1496,312664,10,224,2240,13037784
31,2004-05,207,1924,398268,524,1508,790192,1305,3496,4562280,2017,1484,2993228,125,2232,279000,414,1912,791568,531,1556,826236,1121,1508,1690468,712,724,515488,210,1496,314160,10,224,2240,13163128
30,2004-06,218,1924,419432,515,1508,776620,1334,3496,4663664,2037,1484,3022908,125,2232,279000,418,1912,799216,526,1556,818456,1042,1508,1571336,713,724,516212,200,1496,299200,10,224,2240,13168284
29,2004-07,215,1840,395600,486,1644,798984,1308,3416,4468128,2021,1544,3120424,123,2440,300120,419,1940,812860,534,1544,824496,1035,1476,1527660,695,716,497620,198,1560,308880,34,660,22440,13077212
28,2004-08,221,1840,406640,447,1644,734868,1288,3416,4399808,2009,1544,3101896,120,2440,292800,423,1940,820620,514,1544,793616,1093,1476,1613268,703,716,503348,195,1560,304200,34,660,22440,12993504
27,2004-09,225,1840,414000,485,1644,797340,1304,3416,4454464,2026,1544,3128144,120,2440,292800,424,1940,822560,480,1544,741120,1104,1476,1629504,713,716,510508,200,1560,312000,34,660,22440,13124880
26,2004-10,237,2060,488220,527,1744,919088,1255,3760,4718800,2008,1596,3204768,123,2604,320292,408,2392,975936,457,1736,793352,1093,1652,1805636,685,744,509640,206,1472,303232,10,212,2120,14041084
25,2004-11,223,2060,459380,559,1744,974896,1264,3760,4752640,2029,1596,3238284,123,2604,320292,393,2392,940056,435,1736,755160,1086,1652,1794072,686,744,510384,210,1472,309120,10,212,2120,14056404
24,2004-12,217,2060,447020,666,1744,1161504,1257,3760,4726320,2045,1596,3263820,114,2604,296856,408,2392,975936,426,1736,739536,1087,1652,1795724,692,744,514848,218,1472,320896,10,212,2120,14244580
23,2005-01,220,1764,388080,487,1640,798680,1266,3488,4415808,1972,1532,3021104,122,2640,322080,376,1960,736960,402,1800,723600,1102,1448,1595696,605,720,435600,186,1424,264864,11,656,7216,12709688
22,2005-02,241,1764,425124,465,1640,762600,1281,3488,4468128,1957,1532,2998124,116,2640,306240,385,1960,754600,430,1800,774000,1111,1448,1608728,615,720,442800,179,1424,254896,14,656,9184,12804424
21,2005-03,241,1764,425124,462,1640,757680,1281,3488,4468128,1960,1532,3002720,113,2640,298320,377,1960,738920,432,1800,777600,1117,1448,1617416,684,720,492480,185,1424,263440,13,656,8528,12850356
20,2005-04,268,2060,552080,508,1700,863600,1256,3600,4521600,1961,1568,3074848,120,2384,286080,382,2200,840400,471,1920,904320,1121,1592,1784632,619,788,487772,198,1532,303336,5,1688,8440,13627108
19,2005-05,275,2060,566500,507,1700,861900,1257,3600,4525200,1988,1568,3117184,119,2384,283696,383,2200,842600,471,1920,904320,1131,1592,1800552,657,788,517716,189,1532,289548,5,1688,8440,13717656
18,2005-06,277,2060,570620,537,1700,912900,1242,3600,4471200,1985,1568,3112480,116,2384,276544,389,2200,855800,475,1920,912000,1063,1592,1692296,654,788,515352,185,1532,283420,4,1688,6752,13609364
17,2005-07,229,1832,419528,544,1632,887808,1220,3784,4616480,2008,1664,3341312,116,2644,306704,396,2416,956736,658,1688,1110704,1069,1660,1774540,658,708,465864,191,1476,281916,6,1612,9672,14171264
16,2005-08,228,1832,417696,510,1632,832320,1223,3784,4627832,1998,1664,3324672,116,2644,306704,397,2416,959152,638,1688,1076944,1146,1660,1902360,683,708,483564,197,1476,290772,6,1612,9672,14231688
15,2005-09,211,1832,386552,542,1632,884544,1204,3784,4555936,1871,1664,3113344,114,2644,301416,398,2416,961568,535,1688,903080,1067,1660,1771220,601,708,425508,173,1476,255348,5,1612,8060,13566576
14,2005-10,233,1864,434312,500,2096,1048000,1174,4084,4794616,1944,1864,3623616,104,3508,364832,391,2524,986884,480,1672,802560,1099,1700,1868300,567,832,471744,189,1600,302400,4,1508,6032,14703296
13,2005-11,234,1864,436176,530,2096,1110880,1172,4084,4786448,2005,1864,3737320,105,3508,368340,386,2524,974264,465,1672,777480,1127,1700,1915900,651,832,541632,187,1600,299200,4,1508,6032,14953672
12,2005-12,230,1864,428720,568,2096,1190528,1170,4084,4778280,2043,1864,3808152,103,3508,361324,398,2524,1004552,521,1672,871112,1119,1700,1902300,697,832,579904,193,1600,308800,3,1508,4524,15238196
11,2006-01,231,1704,393624,472,2056,970432,1264,4160,5258240,2027,1760,3567520,104,3452,359008,364,2104,765856,451,2340,1055340,1169,1660,1940540,674,760,512240,178,1728,307584,4,1640,6560,15136944
10,2006-02,243,1704,414072,503,2056,1034168,1277,4160,5312320,2036,1760,3583360,103,3452,355556,355,2104,746920,442,2340,1034280,1216,1660,2018560,699,760,531240,176,1728,304128,6,1640,9840,15344444
9,2006-03,263,1704,448152,538,2056,1106128,1286,4160,5349760,2051,1760,3609760,101,3452,348652,356,2104,749024,434,2340,1015560,1225,1660,2033500,726,760,551760,177,1728,305856,5,1640,8200,15526352
8,2006-04,249,2020,502980,554,2004,1110216,1250,3604,4505000,2023,1752,3544296,100,3052,305200,371,2156,799876,441,1996,880236,1181,1664,1965184,636,864,549504,188,1504,282752,3,1256,3768,14449012
7,2006-05,248,2020,500960,552,2004,1106208,1245,3604,4486980,2042,1752,3577584,97,3052,296044,376,2156,810656,436,1996,870256,1187,1664,1975168,653,864,564192,185,1504,278240,3,1256,3768,14470056
6,2006-06,240,2020,484800,586,2004,1174344,1264,3604,4555456,2050,1752,3591600,97,3052,296044,382,2156,823592,443,1996,884228,1155,1664,1921920,683,864,590112,185,1504,278240,3,1256,3768,14604104
5,2006-07,242,1868,452056,531,2000,1062000,1251,3772,4718772,2004,1740,3486960,92,3316,305072,386,2296,886256,417,2168,904056,1191,1732,2062812,630,800,504000,174,1492,259608,0,0,0,14641592
4,2006-08,252,1868,470736,511,2000,1022000,1229,3772,4635788,2005,1740,3488700,94,3316,311704,381,2296,874776,445,2168,964760,1199,1732,2076668,660,800,528000,178,1492,265576,0,0,0,14638708
3,2006-09,246,1868,459528,520,2000,1040000,1223,3772,4613156,2017,1740,3509580,92,3316,305072,382,2296,877072,445,2168,964760,1245,1732,2156340,686,800,548800,175,1492,261100,0,0,0,14735408
2,2006-10,241,2136,514776,476,2144,1020544,1234,3948,4871832,1986,1860,3693960,98,2892,283416,381,2716,1034796,436,2048,892928,1247,1792,2234624,640,828,529920,197,1560,307320,14,1372,19208,15403324
1,2006-11,243,2136,519048,469,2144,1005536,1234,3948,4871832,1993,1860,3706980,95,2892,274740,388,2716,1053808,507,2048,1038336,1231,1792,2205952,659,828,545652,201,1560,313560,14,1372,19208,15554652
0,2006-12,233,2136,497688,463,2144,992672,1227,3948,4844196,2026,1860,3768360,95,2892,274740,382,2716,1037512,522,2048,1069056,1228,1792,2200576,682,828,564696,198,1560,308880,14,1372,19208,15577584
