,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,37,3492,129204,8443,4820,40695260,6290,2884,18140360,45372,2720,123411840,3256,4624,15055744,13538,2908,39368504,13208,2596,34287968,97097,3392,329353024,13806,2512,34680672,8069,2016,16267104,779,1404,1093716,652483396
46,2011-02,36,3492,125712,8507,4820,41003740,6287,2884,18131708,44951,2720,122266720,3250,4624,15028000,13480,2908,39199840,13407,2596,34804572,98328,3392,333528576,13970,2512,35092640,8078,2016,16285248,804,1404,1128816,656595572
45,2011-03,38,3492,132696,8615,4820,41524300,6398,2884,18451832,45120,2720,122726400,3256,4624,15055744,13492,2908,39234736,13352,2596,34661792,98591,3392,334420672,14544,2512,36534528,8126,2016,16382016,840,1404,1179360,660304076
44,2011-04,41,3576,146616,8704,4696,40873984,6471,3100,20060100,45197,2892,130709724,3320,4120,13678400,13463,2932,39473516,13327,2780,37049060,98860,3632,359059520,17278,2660,45959480,8241,2072,17075352,845,1416,1196520,705282272
43,2011-05,41,3576,146616,8802,4696,41334192,6442,3100,19970200,45344,2892,131134848,3344,4120,13777280,13536,2932,39687552,12744,2780,35428320,97969,3632,355823408,17852,2660,47486320,8288,2072,17172736,880,1416,1246080,703207552
42,2011-06,38,3576,135888,8894,4696,41766224,6470,3100,20057000,45778,2892,132389976,3325,4120,13699000,13478,2932,39517496,12702,2780,35311560,96547,3632,350658704,18011,2660,47909260,8260,2072,17114720,921,1416,1304136,699863964
41,2011-07,41,3464,142024,8966,4876,43718216,6400,3176,20326400,44693,2980,133185140,3331,5180,17254580,13486,2972,40080392,12771,2936,37495656,95002,3652,346947304,17483,2884,50420972,7982,2152,17177264,789,1476,1164564,707912512
40,2011-08,41,3464,142024,9168,4876,44703168,6566,3176,20853616,44882,2980,133748360,2534,5180,13126120,13471,2972,40035812,12712,2936,37322432,94224,3652,344106048,17255,2884,49763420,7920,2152,17043840,822,1476,1213272,702058112
39,2011-09,44,3464,152416,9065,4876,44200940,6544,3176,20783744,45796,2980,136472080,3304,5180,17114720,13554,2972,40282488,12768,2936,37486848,96052,3652,350781904,16735,2884,48263740,8041,2152,17304232,853,1476,1259028,714102140
38,2011-10,46,3168,145728,9164,5596,51281744,6604,3468,22902672,45823,3160,144800680,3285,4496,14769360,13631,3276,44655156,12694,3320,42144080,96834,3832,371067888,16470,1944,32017680,8147,2200,17923400,906,1748,1583688,743292076
37,2011-11,45,3168,142560,9171,5596,51320916,6730,3468,23339640,46434,3160,146731440,3216,4496,14459136,13641,3276,44687916,12704,3320,42177280,96737,3832,370696184,15844,1944,30800736,8125,2200,17875000,952,1748,1664096,743894904
36,2011-12,45,3168,142560,9242,5596,51718232,6715,3468,23287620,46981,3160,148459960,3193,4496,14355728,13719,3276,44943444,12796,3320,42482720,96897,3832,371309304,14752,1944,28677888,8092,2200,17802400,974,1748,1702552,744882408
35,2012-01,43,3780,162540,8624,4684,40394816,6331,3044,19271564,45385,2860,129801100,3192,5028,16049376,13638,2972,40532136,13220,2764,36540080,95402,3536,337341472,14229,2496,35515584,8080,2092,16903360,935,1436,1342660,673854688
