,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,82,2388,195816,21176,3940,83433440,19078,2472,47160816,106573,2564,273253172,6729,4808,32353032,29065,4600,133699000,38978,2888,112568464,182564,2836,517751504,30921,1516,46876236,22934,1852,42473768,4278,1788,7649064,1297414312
46,2011-02,85,2388,202980,21265,3940,83784100,19269,2472,47632968,105991,2564,271760924,6751,4808,32458808,28935,4600,133101000,39481,2888,114021128,184097,2836,522099092,31306,1516,47459896,23290,1852,43133080,4425,1788,7911900,1303565876
45,2011-03,90,2388,214920,22031,3940,86802140,19342,2472,47813424,106661,2564,273478804,6791,4808,32651128,29144,4600,134062400,39964,2888,115416032,185089,2836,524912404,31718,1516,48084488,23378,1852,43296056,4655,1788,8323140,1315054936
44,2011-04,88,2768,243584,22596,4012,90655152,19507,2688,52434816,107962,2700,291497400,6819,4640,31640160,29074,3804,110597496,39963,3096,123725448,186585,2956,551545260,33068,1580,52247440,24146,1908,46070568,4554,1904,8670816,1359328140
43,2011-05,95,2768,262960,22767,4012,91341204,19534,2688,52507392,108191,2700,292115700,6824,4640,31663360,29160,3804,110924640,39699,3096,122908104,186686,2956,551843816,33870,1580,53514600,24264,1908,46295712,4813,1904,9163952,1362541440
42,2011-06,105,2768,290640,22963,4012,92127556,19424,2688,52211712,109197,2700,294831900,6857,4640,31816480,29243,3804,111240372,40201,3096,124462296,182999,2956,540945044,34495,1580,54502100,23978,1908,45750024,5035,1904,9586640,1357764764
41,2011-07,95,2580,245100,23550,4180,98439000,19243,2684,51648212,105277,2680,282142360,6948,5312,36907776,29320,3916,114817120,39857,3140,125150980,179004,3120,558492480,36244,1592,57700448,23558,2004,47210232,4401,1952,8590752,1381344460
40,2011-08,101,2580,260580,23698,4180,99057640,19642,2684,52719128,105317,2680,282249560,5505,5312,29242560,29484,3916,115459344,39809,3140,125000260,177444,3120,553625280,35941,1592,57218072,23336,2004,46765344,4561,1952,8903072,1370500840
39,2011-09,96,2580,247680,23666,4180,98923880,19758,2684,53030472,109873,2680,294459640,7000,5312,37184000,29348,3916,114926768,40197,3140,126218580,180771,3120,564005520,34780,1592,55369760,23464,2004,47021856,4655,1952,9086560,1400474716
38,2011-10,91,2912,264992,23889,4788,114380532,19686,3260,64176360,109253,2972,324699916,6889,5084,35023676,29498,4132,121885736,40287,3452,139070724,184224,3184,586569216,34918,1788,62433384,23903,2008,47997224,4793,2640,12653520,1509155280
37,2011-11,86,2912,250432,23947,4788,114658236,19706,3260,64241560,110925,2972,329669100,6953,5084,35349052,29817,4132,123203844,40840,3452,140979680,185955,3184,592080720,34715,1788,62070420,24112,2008,48416896,4960,2640,13094400,1524014340
36,2011-12,85,2912,247520,23964,4788,114739632,19511,3260,63605860,112589,2972,334614508,6877,5084,34962668,29814,4132,123191448,41224,3452,142305248,186136,3184,592657024,34496,1788,61678848,23863,2008,47916904,5250,2640,13860000,1529779660
35,2012-01,65,2444,158860,21550,3956,85251800,19304,2608,50344832,109886,2656,291857216,6729,4772,32110788,29834,4552,135804368,40065,3068,122919420,185806,2892,537350952,34057,1612,54899884,23946,1912,45784752,4734,1752,8293968,1364776840
34,2012-02,65,2444,158860,21957,3956,86861892,19645,2608,51234160,109760,2656,291522560,6799,4772,32444828,29688,4552,135139776,40387,3068,123907316,187360,2892,541845120,34609,1612,55789708,24155,1912,46184360,4831,1752,8463912,1373552492
33,2012-03,70,2444,171080,22452,3956,88820112,19827,2608,51708816,110365,2656,293129440,6822,4772,32554584,29696,4552,135176192,40766,3068,125070088,187893,2892,543386556,35064,1612,56523168,24060,1912,46002720,5154,1752,9029808,1381572564
32,2012-04,76,2692,204592,22670,3984,90317280,19764,2736,54074304,109805,2748,301744140,6914,4332,29951448,29656,3840,113879040,41206,3192,131529552,189218,2920,552516560,36058,1644,59279352,24426,1920,46897920,5385,1716,9240660,1389634848
31,2012-05,77,2692,207284,23040,3984,91791360,19978,2736,54659808,111440,2748,306237120,6986,4332,30263352,29119,3840,111816960,41224,3192,131587008,189452,2920,553199840,37245,1644,61230780,24710,1920,47443200,5663,1716,9717708,1398154420
30,2012-06,73,2692,196516,23580,3984,93942720,20167,2736,55176912,112379,2748,308817492,7052,4332,30549264,29167,3840,112001280,41463,3192,132349896,187814,2920,548416880,37708,1644,61991952,24615,1920,47260800,5950,1716,10210200,1400913912
29,2012-07,73,2340,170820,24102,4104,98914608,19889,2616,52029624,107459,2656,285411104,6885,4588,31588380,29038,3856,111970528,41480,3076,127592480,183065,3044,557249860,39014,1652,64451128,24555,1952,47931360,5275,1904,10043600,1387353492
28,2012-08,77,2340,180180,24218,4104,99390672,20093,2616,52563288,107999,2656,286845344,6860,4588,31473680,28905,3856,111457680,41744,3076,128404544,180976,3044,550890944,38792,1652,64084384,24327,1952,47486304,5424,1904,10327296,1383104316
27,2012-09,77,2340,180180,24044,4104,98676576,20217,2616,52887672,112263,2656,298170528,6868,4588,31510384,28674,3856,110566944,42327,3076,130197852,184234,3044,560808296,37823,1652,62483596,24383,1952,47595616,5501,1904,10473904,1403551548
26,2012-10,74,2684,198616,23926,4692,112260792,20113,3408,68545104,112425,3040,341772000,6875,6060,41662500,29143,4160,121234880,43078,3720,160250160,186628,3172,591984016,38342,1860,71316120,25169,2008,50539352,5116,2692,13772272,1573535812
25,2012-11,72,2684,193248,23682,4692,111115944,19813,3408,67522704,113930,3040,346347200,6853,6060,41529180,29103,4160,121068480,43432,3720,161567040,186649,3172,592050628,37223,1860,69234780,25126,2008,50453008,5152,2692,13869184,1574951396
24,2012-12,67,2684,179828,23875,4692,112021500,19791,3408,67447728,115796,3040,352019840,6883,6060,41710980,29707,4160,123581120,43632,3720,162311040,187565,3172,594956180,37350,1860,69471000,25087,2008,50374696,5275,2692,14200300,1588274212
23,2013-01,33,2500,82500,22976,3944,90617344,19389,2636,51109404,112489,2624,295171136,6764,4852,32818928,29008,4544,131812352,43263,3180,137576340,186752,2940,549050880,37420,1668,62416560,24554,1900,46652600,4326,1980,8565480,1405873524
22,2013-02,31,2500,77500,23045,3944,90889480,19578,2636,51607608,109534,2624,287417216,6764,4852,32818928,29120,4544,132321280,43776,3180,139207680,187765,2940,552029100,38495,1668,64209660,24564,1900,46671600,4387,1980,8686260,1405936312
21,2013-03,37,2500,92500,23656,3944,93299264,19758,2636,52082088,112864,2624,296155136,6790,4852,32945080,29154,4544,132475776,43977,3180,139846860,189230,2940,556336200,38850,1668,64801800,24654,1900,46842600,4486,1980,8882280,1423759584
20,2013-04,73,2752,200896,24372,4060,98950320,20247,2748,55638756,113972,2684,305900848,6845,4452,30473940,30100,4008,120640800,44667,3288,146865096,191904,2968,569571072,40780,1720,70141600,25289,1912,48352568,4400,1936,8518400,1455254296
19,2013-05,80,2752,220160,24699,4060,100277940,20306,2748,55800888,114702,2684,307860168,6957,4452,30972564,29393,4008,117807144,44481,3288,146253528,192026,2968,569933168,41533,1720,71436760,25332,1912,48434784,4557,1936,8822352,1457819456
18,2013-06,80,2752,220160,25009,4060,101536540,20226,2748,55581048,115772,2684,310732048,7244,4452,32250288,30093,4008,120612744,44395,3288,145970760,189104,2968,561260672,43063,1720,74068360,25170,1912,48125040,4630,1936,8963680,1459321340
17,2013-07,87,2368,206016,25723,4160,107007680,20156,2740,55227440,112095,2680,300414600,7532,4572,34436304,30137,3976,119824712,45399,3356,152359044,186840,3048,569488320,44334,1708,75722472,25213,1976,49820888,4577,1912,8751224,1473258700
16,2013-08,60,2368,142080,25942,4160,107918720,20292,2740,55600080,111705,2680,299369400,7266,4572,33220152,29588,3976,117641888,45156,3356,151543536,184550,3048,562508400,43683,1708,74610564,25133,1976,49662808,4799,1912,9175688,1461393316
15,2013-09,59,2368,139712,25584,4160,106429440,20301,2740,55624740,115847,2680,310469960,7403,4572,33846516,29552,3976,117498752,44990,3356,150986440,186671,3048,568973208,43498,1708,74294584,24694,1976,48795344,4863,1912,9298056,1476356752
14,2013-10,55,2560,140800,25976,4744,123230144,20402,3456,70509312,116486,2916,339673176,7627,5332,40667164,30210,4340,131111400,46211,3844,177635084,195121,3188,622045748,44232,1932,85456224,25860,2044,52857840,5212,2872,14968864,1658295756
13,2013-11,50,2560,128000,26101,4744,123823144,20401,3456,70505856,119727,2916,349123932,7689,5332,40997748,30381,4340,131853540,46385,3844,178303940,197060,3188,628227280,44093,1932,85187676,26031,2044,53207364,5413,2872,15546136,1676904616
12,2013-12,43,2560,110080,25475,4744,120853400,20276,3456,70073856,121226,2916,353495016,7738,5332,41259016,30625,4340,132912500,47152,3844,181252288,196731,3188,627178428,43587,1932,84210084,25501,2044,52124044,5560,2872,15968320,1679437032
11,2014-01,45,2152,96840,24540,3896,95607840,20317,2712,55099704,116836,2664,311251104,7719,4936,38100984,31186,4820,150316520,45638,3140,143303320,195065,2944,574271360,43081,1708,73582348,25186,1924,48457864,5107,1956,9989292,1500077176
10,2014-02,41,2152,88232,24013,3896,93554648,20652,2712,56008224,116475,2664,310289400,7853,4936,38762408,31195,4820,150359900,46071,3140,144662940,196317,2944,577957248,44159,1708,75423572,25323,1924,48721452,5394,1956,10550664,1506378688
9,2014-03,46,2152,98992,24924,3896,97103904,20701,2712,56141112,116505,2664,310369320,7897,4936,38979592,31268,4820,150711760,46464,3140,145896960,197591,2944,581707904,44743,1708,76421044,25244,1924,48569456,5612,1956,10977072,1516977116
8,2014-04,60,1940,116400,25691,4136,106257976,20568,2892,59482656,117417,2764,324540588,7882,4660,36730120,31325,4056,127054200,47446,3240,153725040,199405,2964,591036420,46127,1780,82106060,25730,1956,50327880,5424,1968,10674432,1542051772
7,2014-05,65,1940,126100,26365,4136,109045640,20815,2892,60196980,118526,2764,327605864,8007,4660,37312620,31380,4056,127277280,47612,3240,154262880,200880,2964,595408320,47777,1780,85043060,26061,1956,50975316,5623,1968,11066064,1558320124
6,2014-06,65,1940,126100,26956,4136,111490016,20886,2892,60402312,119929,2764,331483756,8182,4660,38128120,31515,4056,127824840,47460,3240,153770400,198217,2964,587515188,48394,1780,86141320,25827,1956,50517612,5741,1968,11298288,1558697952
5,2014-07,68,2268,154224,27710,4260,118044600,20682,2860,59150520,116008,2716,315077728,8013,9200,73719600,31391,4188,131465508,47799,3256,155633544,193901,3036,588683436,49201,1796,88364996,25227,2024,51059448,6217,1900,11812300,1593165904
4,2014-08,69,2268,156492,27566,4260,117431160,20879,2860,59713940,116914,2716,317538424,7982,9200,73434400,31459,4188,131750292,47810,3256,155669360,192972,3036,585862992,48922,1796,87863912,25220,2024,51045280,6446,1900,12247400,1592713652
3,2014-09,67,2268,151956,27752,4260,118223520,20820,2860,59545200,121426,2716,329793016,8122,9200,74722400,31342,4188,131260296,48242,3256,157075952,196920,3036,597849120,48848,1796,87731008,24881,2024,50359144,6724,1900,12775600,1619487212
2,2014-10,67,2156,144452,27937,5024,140355488,20799,3524,73295676,122032,3032,370001024,8130,5516,44845080,32714,4796,156896344,49106,3980,195441880,203288,3184,647268992,48812,1996,97428752,26143,2112,55214016,6748,2712,18300576,1799192280
