,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,129,12524,1615596,29292,6416,187937472,25602,6488,166105776,238432,4996,1191206272,133753,10760,1439182280,350163,34700,12150656100,454456,10260,4662718560,296414,4260,1262723640,226915,3040,689821600,86666,3912,339037392,4899,4564,22359036,22113363724
46,2011-02,123,12524,1540452,29216,6416,187449856,25824,6488,167546112,235844,4996,1178276624,134520,10760,1447435200,351689,34700,12203608300,458390,10260,4703081400,301120,4260,1282771200,229373,3040,697293920,87155,3912,340950360,5278,4564,24088792,22234042216
45,2011-03,124,12524,1552976,29668,6416,190349888,26025,6488,168850200,235213,4996,1175124148,135264,10760,1455440640,352090,34700,12217523000,461072,10260,4730598720,302889,4260,1290307140,232784,3040,707663360,87352,3912,341721024,5490,4564,25056360,22304187456
44,2011-04,127,7156,908812,29583,6464,191224512,25925,5084,131802700,236925,4912,1163775600,136699,7996,1093045204,352413,12768,4499609184,465057,8012,3726036684,303293,4512,1368458016,235946,3040,717275840,88305,3864,341210520,4855,3700,17963500,13251310572
43,2011-05,126,7156,901656,30611,6464,197869504,25902,5084,131685768,238903,4912,1173491536,137233,7996,1097315068,352942,12768,4506363456,465567,8012,3730122804,302148,4512,1363291776,237757,3040,722781280,88773,3864,343018872,5118,3700,18936600,13285778320
42,2011-06,141,7156,1008996,30700,6464,198444800,26077,5084,132575468,242080,4912,1189096960,137980,7996,1103288080,358487,12768,4577162016,473812,8012,3796181744,296386,4512,1337293632,239292,3040,727447680,89174,3864,344568336,5419,3700,20050300,13427118012
41,2011-07,139,6120,850680,31353,6560,205675680,25855,4844,125241620,241857,4732,1144467324,138157,8432,1164939824,362535,12364,4482382740,475538,7932,3771967416,289005,4844,1399940220,235600,3072,723763200,88192,3960,349240320,4604,4520,20810080,13389279104
40,2011-08,140,6120,856800,31370,6560,205787200,25981,4844,125851964,242015,4732,1145214980,135065,8432,1138868080,363492,12364,4494215088,475199,7932,3769278468,287669,4844,1393468636,233102,3072,716089344,87422,3960,346191120,4828,4520,21822560,13357644240
39,2011-09,140,6120,856800,31266,6560,205104960,26080,4844,126331520,243096,4732,1150330272,138377,8432,1166794864,357347,12364,4418238308,472724,7932,3749646768,296479,4844,1436144276,239135,3072,734622720,89267,3960,353497320,4991,4520,22559320,13364127128
38,2011-10,137,6664,912968,30621,7800,238843800,26020,7124,185366480,247017,5384,1329939528,138636,9260,1283769360,355982,16340,5816745880,474904,9088,4315927552,303042,4792,1452177264,245360,3532,866611520,89685,4272,383134320,5372,7244,38914768,15912343440
37,2011-11,136,6664,906304,30536,7800,238180800,25937,7124,184775188,255248,5384,1374255232,139370,9260,1290566200,356243,16340,5821010620,479470,9088,4357423360,305424,4792,1463591808,249719,3532,882007508,89954,4272,384283488,5608,7244,40624352,16037624860
