,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,25.0,1504.0,37600.0,36819,4980,183358620,21475.0,3244.0,69664900.0,138905,3244,450607820,8334,4760,39669840,29939,6196,185502044,41995,2920,122625400,115880,2884,334197920,37455,1576,59029080,21070,2088,43994160,2907,1732,5034924,1493722308.0
46,2011-02,25.0,1504.0,37600.0,36941,4980,183966180,21469.0,3244.0,69645436.0,138501,3244,449297244,8267,4760,39350920,29805,6196,184671780,41928,2920,122429760,116584,2884,336228256,37918,1576,59758768,21285,2088,44443080,3035,1732,5256620,1495085644.0
45,2011-03,26.0,1504.0,39104.0,37922,4980,188851560,21362.0,3244.0,69298328.0,138968,3244,450812192,8337,4760,39684120,29702,6196,184033592,42007,2920,122660440,117232,2884,338097088,38610,1576,60849360,21513,2088,44919144,3233,1732,5599556,1504844484.0
44,2011-04,27.0,1308.0,35316.0,39064,5148,201101472,21247.0,3352.0,71219944.0,140013,3244,454202172,8463,4164,35239932,30039,4360,130970040,43443,3016,131024088,118060,3016,356068960,41495,2040,84649800,21885,2144,46921440,3093,1768,5468424,1516901588.0
43,2011-05,24.0,1308.0,31392.0,39996,5148,205899408,21306.0,3352.0,71417712.0,140460,3244,455652240,8474,4164,35285736,30076,4360,131131360,42803,3016,129093848,118245,3016,356626920,41038,2040,83717520,22464,2144,48162816,3318,1768,5866224,1522885176.0
42,2011-06,26.0,1308.0,34008.0,40183,5148,206862084,21888.0,3352.0,73368576.0,141447,3244,458854068,8524,4164,35493936,30445,4360,132740200,42556,3016,128348896,118146,3016,356328336,41454,2040,84566160,22667,2144,48598048,3629,1768,6416072,1531610384.0
41,2011-07,26.0,1916.0,49816.0,41514,5388,223677432,21730.0,3416.0,74229680.0,139751,3280,458383280,8410,4620,38854200,30344,4724,143345056,43978,3116,137035448,116251,3144,365493144,41906,1996,83644376,22463,2188,49149044,3010,1868,5622680,1579484156.0
40,2011-08,24.0,1916.0,45984.0,41952,5388,226037376,21597.0,3416.0,73775352.0,139695,3280,458199600,7143,4620,33000660,30227,4724,142792348,44017,3116,137156972,115943,3144,364524792,43231,1996,86289076,22243,2188,48667684,3113,1868,5815084,1576304928.0
39,2011-09,26.0,1916.0,49816.0,41315,5388,222605220,21952.0,3416.0,74988032.0,142372,3280,466980160,8406,4620,38835720,30442,4724,143808008,42962,3116,133869592,117564,3144,369621216,44042,1996,87907832,22612,2188,49475056,3275,1868,6117700,1594258352.0
38,2011-10,26.0,1296.0,33696.0,41363,6140,253968820,22084.0,3944.0,87099296.0,141387,3508,495985596,8477,4384,37163168,30343,5180,157176740,43227,3360,145242720,117206,3284,384904504,42391,1736,73590776,22725,2280,51813000,3405,2236,7613580,1694591896.0
