,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,,,,5302,4188,22204776,,,,21764,2744,59720416,1969,4640,9136160,3313,3772,12496636,6981,2760,19267560,30331,3292,99849652,7724,1204,9299696,4266,1656,7064496,407,2072,843304,
46,2011-02,,,,5216,4188,21844608,,,,21449,2744,58856056,1985,4640,9210400,3289,3772,12406108,7039,2760,19427640,30607,3292,100758244,7718,1204,9292472,4357,1656,7215192,444,2072,919968,
45,2011-03,,,,5427,4188,22728276,,,,21486,2744,58957584,1983,4640,9201120,3305,3772,12466460,7065,2760,19499400,30710,3292,101097320,7960,1204,9583840,4341,1656,7188696,492,2072,1019424,
44,2011-04,,,,5610,4452,24975720,,,,21531,2868,61750908,1991,4508,8975428,3339,3592,11993688,7267,2892,21016164,30901,3260,100737260,8262,1256,10377072,4471,1692,7564932,494,1844,910936,
43,2011-05,,,,5730,4452,25509960,,,,21678,2868,62172504,1983,4508,8939364,3370,3592,12105040,7142,2892,20654664,30846,3260,100557960,8603,1256,10805368,4517,1692,7642764,526,1844,969944,
42,2011-06,,,,5987,4452,26654124,,,,21847,2868,62657196,1996,4508,8997968,3382,3592,12148144,7313,2892,21149196,30948,3260,100890480,8732,1256,10967392,4509,1692,7629228,541,1844,997604,
41,2011-07,,,,6076,4572,27779472,,,,21338,2876,61368088,1977,5004,9892908,3341,3716,12415156,7239,3072,22238208,30271,3508,106190668,8746,1316,11509736,4544,1800,8179200,416,2116,880256,
40,2011-08,,,,6348,4572,29023056,,,,21124,2876,60752624,1608,5004,8046432,3326,3716,12359416,7213,3072,22158336,30249,3508,106113492,8714,1316,11467624,4398,1800,7916400,418,2116,884488,
39,2011-09,,,,6295,4572,28780740,,,,21750,2876,62553000,1953,5004,9772812,3295,3716,12244220,7124,3072,21884928,30353,3508,106478324,8333,1316,10966228,4516,1800,8128800,420,2116,888720,
38,2011-10,,,,6220,4892,30428240,,,,22032,2908,64069056,1926,4980,9591480,3324,4076,13548624,7196,3412,24552752,30887,3448,106498376,8268,1328,10979904,4553,1800,8195400,474,2660,1260840,
37,2011-11,,,,6076,4892,29723792,,,,22741,2908,66130828,1920,4980,9561600,3269,4076,13324444,7375,3412,25163500,31043,3448,107036264,8350,1328,11088800,4555,1800,8199000,499,2660,1327340,
36,2011-12,,,,5884,4892,28784528,,,,23148,2908,67314384,1922,4980,9571560,3296,4076,13434496,7428,3412,25344336,31232,3448,107687936,8343,1328,11079504,4601,1800,8281800,517,2660,1375220,
35,2012-01,,,,5560,4292,23863520,,,,21851,2844,62144244,1888,5104,9636352,3311,3764,12462604,7265,2860,20777900,30621,3400,104111400,7754,1268,9832072,4437,1668,7400916,474,1984,940416,
34,2012-02,,,,5550,4292,23820600,,,,21658,2844,61595352,1787,5104,9120848,3313,3764,12470132,7315,2860,20920900,30854,3400,104903600,8112,1268,10286016,4421,1668,7374228,515,1984,1021760,
33,2012-03,,,,5518,4292,23683256,,,,21669,2844,61626636,1875,5104,9570000,3281,3764,12349684,7533,2860,21544380,30734,3400,104495600,8230,1268,10435640,4394,1668,7329192,547,1984,1085248,
32,2012-04,,,,5876,4320,25384320,,,,21738,2884,62692392,1837,4764,8751468,3299,3684,12153516,7735,2908,22493380,30718,3272,100509296,8463,1264,10697232,4407,1652,7280364,606,2244,1359864,
31,2012-05,,,,5925,4320,25596000,,,,21965,2884,63347060,1891,4764,9008724,3307,3684,12182988,7719,2908,22446852,30819,3272,100839768,8784,1264,11102976,4506,1652,7443912,671,2244,1505724,
30,2012-06,,,,5967,4320,25777440,,,,22086,2884,63696024,1929,4764,9189756,3334,3684,12282456,7733,2908,22487564,30477,3272,99720744,8937,1264,11296368,4555,1652,7524860,646,2244,1449624,
29,2012-07,,,,6243,4456,27818808,,,,21251,2804,59587804,1914,4572,8750808,3264,3732,12181248,7833,2876,22527708,30295,3468,105063060,8951,1288,11528888,4383,1748,7661484,590,2176,1283840,
28,2012-08,,,,6418,4456,28598608,,,,21266,2804,59629864,1933,4572,8837676,3282,3732,12248424,7867,2876,22625492,30214,3468,104782152,8836,1288,11380768,4382,1748,7659736,625,2176,1360000,
27,2012-09,,,,6420,4456,28607520,,,,21789,2804,61096356,1895,4572,8663940,3288,3732,12270816,7864,2876,22616864,30301,3468,105083868,8661,1288,11155368,4512,1748,7886976,668,2176,1453568,
